date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95
2025-10-05,1,1,1,11,38,71,108,133,158
2025-10-12,1,1,1,11,38,72,109,135,160
2025-10-19,1,1,1,16,44,80,119,147,174
2025-10-26,1,1,1,22,53,91,133,163,192
2025-11-02,1,1,3,26,57,97,141,172,203
2025-11-09,1,1,1,24,56,96,140,171,202
2025-11-16,1,1,5,28,61,103,149,182,213
2025-11-23,1,1,3,27,60,101,147,180,212
2025-11-30,1,1,1,20,51,90,134,165,196
2025-12-07,1,1,1,14,44,82,124,154,183
2025-12-14,1,1,1,3,30,65,103,130,157
2025-12-21,1,1,1,1,25,59,96,123,148
2026-01-04,1,1,1,6,34,69,109,138,165
2026-01-11,1,1,1,7,36,72,113,142,171
2026-01-18,1,1,1,6,34,70,111,139,168
2026-01-25,1,1,1,9,39,76,118,148,177
2026-02-01,1,1,1,12,43,81,125,156,186
2026-02-08,1,1,1,19,51,92,138,171,203
2026-02-15,1,1,1,21,53,95,142,176,208
2026-02-22,1,1,1,20,52,94,141,174,207
2026-03-01,1,1,1,24,58,101,150,185,219
2026-03-08,1,1,1,22,56,98,146,181,214
2026-03-15,1,1,1,26,60,104,154,189,224
2026-03-22,1,1,1,26,61,105,155,191,225
2026-03-29,1,1,3,28,64,109,159,196,231
2026-04-05,1,1,9,36,73,121,174,213,250
2026-04-12,1,1,10,37,75,123,177,216,254
2026-04-19,1,1,9,35,73,120,175,213,251
2026-04-26,1,1,6,32,68,115,167,205,242
2026-05-03,1,1,14,42,82,132,189,229,269
2026-05-10,1,4,19,48,89,141,200,242,284
2026-05-17,1,6,20,50,92,145,205,248,290
2026-05-24,1,4,19,49,90,142,202,244,286
2026-05-31,1,3,17,46,86,138,197,239,280
2026-06-07,1,4,18,48,89,141,200,243,284
2026-06-14,1,1,16,44,84,135,193,235,275
2026-06-21,1,1,13,41,80,130,186,227,266
2026-06-28,1,1,14,42,82,132,189,230,270
2026-07-05,1,5,19,49,90,143,204,246,288
2026-07-12,1,8,23,53,96,150,212,256,299
2026-07-19,1,5,20,49,91,144,205,248,290
2026-07-26,1,6,22,52,94,148,209,253,296
2026-08-02,1,3,18,47,88,140,200,242,284
2026-08-09,1,5,19,49,91,144,204,247,289
2026-08-16,1,3,18,47,88,140,200,243,284
2026-08-23,1,1,14,42,81,132,189,230,271
2026-08-30,1,1,8,35,73,121,176,216,254
2026-09-06,1,1,12,40,79,129,186,226,266
2026-09-13,1,1,10,38,76,125,181,221,260
2026-09-20,1,1,9,36,75,123,179,218,257
2026-09-27,1,1,4,29,65,112,164,202,238
2026-10-04,1,1,5,32,68,115,169,207,244
