date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95
2025-10-05,249,326,437,689,1112,1759,2634,3343,4106
2025-10-12,262,345,464,738,1201,1920,2902,3705,4573
2025-10-19,254,337,458,737,1215,1965,3000,3853,4780
2025-10-26,267,356,484,786,1306,2132,3283,4239,5285
2025-11-02,287,383,523,853,1429,2353,3653,4741,5937
2025-11-09,302,404,554,909,1535,2548,3989,5202,6543
2025-11-16,346,462,632,1041,1766,2952,4653,6096,7698
2025-11-23,386,514,705,1164,1987,3345,5311,6989,8860
2025-11-30,454,603,825,1365,2341,3966,6338,8375,10657
2025-12-07,509,676,926,1538,2652,4525,7280,9662,12341
2025-12-14,498,665,917,1535,2671,4597,7452,9934,12739
2025-12-21,497,667,923,1557,2731,4737,7735,10356,13329
2026-01-04,904,1194,1634,2729,4772,8292,13588,18245,23550
2026-01-11,1110,1465,2007,3360,5905,10322,17018,22936,29704
2026-01-18,1377,1817,2491,4184,7390,12997,21557,29163,37893
2026-01-25,1657,2189,3005,5068,9003,15933,26585,36099,47057
2026-02-01,2039,2696,3707,6277,11211,19964,33507,45662,59713
2026-02-08,2276,3016,4158,7077,12718,22794,38486,52636,69049
2026-02-15,2630,3491,4825,8251,14915,26898,45679,62692,82493
2026-02-22,2885,3838,5320,9145,16631,30180,51544,70986,93687
2026-03-01,3229,4305,5984,10336,18907,34518,59280,81914,108425
2026-03-08,3491,4665,6503,11290,20773,38151,65877,91329,121233
2026-03-15,3838,5141,7187,12537,23197,42851,74387,103457,137714
2026-03-22,3942,5293,7422,13014,24219,44998,78524,109553,146228
2026-03-29,3793,5109,7187,12669,23715,44316,77735,108788,145595
2026-04-05,3966,5355,7554,13380,25182,47315,83408,117076,157093
2026-04-12,3921,5307,7510,13368,25297,47792,84663,119185,160330
2026-04-19,3685,5004,7103,12710,24184,45936,81767,115440,155678
2026-04-26,3312,4512,6427,11562,22123,42248,75560,106978,144620
2026-05-03,2834,3874,5540,10023,19288,37033,66547,94479,128029
2026-05-10,2349,3225,4631,8429,16317,31499,56866,80956,109963
2026-05-17,1926,2657,3834,7022,13675,26542,48139,68717,93555
2026-05-24,1338,1862,2706,5002,9813,19164,34928,49998,68229
2026-05-31,956,1343,1969,3678,7276,14299,26191,37595,51424
2026-06-07,671,956,1418,2683,5357,10601,19517,28095,38520
2026-06-14,496,719,1079,2070,4175,8320,15398,22227,30545
2026-06-21,345,512,783,1532,3129,6287,11702,16942,23338
2026-06-28,248,380,596,1193,2474,5025,9424,13701,18938
2026-07-05,145,239,393,822,1748,3604,6826,9972,13839
2026-07-12,98,175,302,656,1424,2976,5686,8344,11621
2026-07-19,68,133,242,546,1213,2565,4943,7285,10182
2026-07-26,45,102,197,465,1054,2258,4385,6491,9104
2026-08-02,31,83,169,415,960,2079,4069,6046,8507
2026-08-09,12,58,134,349,829,1821,3596,5366,7576
2026-08-16,1,41,110,306,744,1655,3294,4935,6990
2026-08-23,1,30,94,277,688,1549,3105,4670,6635
2026-08-30,1,22,82,256,648,1474,2973,4488,6394
2026-09-06,1,18,77,248,635,1455,2952,4469,6384
2026-09-13,1,30,95,286,720,1643,3338,5061,7242
2026-09-20,1,33,100,296,747,1710,3486,5299,7599
2026-09-27,1,28,94,285,728,1679,3441,5246,7541
2026-10-04,1,31,98,296,755,1746,3590,5485,7902
