date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95
2025-10-05,1,1,1,7,35,69,108,135,161
2025-10-12,1,1,1,12,42,79,120,150,178
2025-10-19,1,1,1,19,51,91,136,168,199
2025-10-26,1,1,1,22,55,97,144,178,210
2025-11-02,1,1,3,28,63,107,158,194,229
2025-11-09,1,1,14,42,82,132,190,231,271
2025-11-16,1,10,26,57,101,158,223,269,314
2025-11-23,10,24,42,78,128,193,268,321,373
2025-11-30,15,30,49,87,140,210,289,346,402
2025-12-07,19,34,54,94,150,223,306,366,426
2025-12-14,3,16,34,68,118,182,256,309,361
2025-12-21,1,7,23,56,102,162,231,281,331
2026-01-04,31,48,71,116,181,265,362,432,502
2026-01-11,41,59,84,133,203,295,400,476,552
2026-01-18,49,69,95,148,223,321,435,517,598
2026-01-25,57,78,106,162,242,346,467,555,642
2026-02-01,61,83,111,169,251,360,485,576,667
2026-02-08,68,91,120,181,268,382,514,610,706
2026-02-15,66,88,118,178,265,378,511,607,702
2026-02-22,58,80,108,166,250,359,487,580,672
2026-03-01,59,80,109,167,251,362,491,584,678
2026-03-08,58,80,108,167,251,362,491,586,680
2026-03-15,61,83,112,172,259,372,505,602,699
2026-03-22,62,84,114,174,262,377,512,610,708
2026-03-29,57,79,107,166,251,364,496,592,687
2026-04-05,59,81,110,170,257,372,507,605,703
2026-04-12,60,82,112,172,260,376,512,611,710
2026-04-19,51,72,100,157,241,351,480,574,669
2026-04-26,50,71,99,156,239,349,478,572,666
2026-05-03,50,72,100,157,241,352,482,577,673
2026-05-10,47,67,95,151,233,342,469,563,656
2026-05-17,40,60,87,141,219,324,447,537,627
2026-05-24,27,45,69,119,190,286,398,480,562
2026-05-31,16,32,54,99,164,251,353,428,503
2026-06-07,6,21,41,82,142,221,315,383,452
2026-06-14,1,13,32,71,127,202,291,355,420
2026-06-21,1,1,16,50,100,166,244,301,359
2026-06-28,1,1,8,39,85,146,218,271,324
2026-07-05,1,1,1,29,72,129,196,246,295
2026-07-12,1,1,1,17,56,107,168,213,258
2026-07-19,1,1,1,13,50,100,159,202,245
2026-07-26,1,1,1,9,45,93,150,191,233
2026-08-02,1,1,1,10,47,95,153,195,237
2026-08-09,1,1,1,5,40,86,141,181,222
2026-08-16,1,1,1,8,43,91,148,189,231
2026-08-23,1,1,1,2,36,82,135,175,214
2026-08-30,1,1,1,1,33,77,130,168,207
2026-09-06,1,1,1,1,29,72,123,160,198
2026-09-13,1,1,1,1,34,78,131,170,209
2026-09-20,1,1,1,1,33,78,131,170,208
2026-09-27,1,1,1,2,37,82,136,176,216
2026-10-04,1,1,1,1,33,78,131,169,208
