epiweek,cases,temp_min,temp_med,temp_max,precip_min,precip_med,precip_max,precip_tot,pressure_min,pressure_med,pressure_max,rel_humid_min,rel_humid_med,rel_humid_max,thermal_range,rainy_days
201001,147,18.8483,23.2392,28.018,0.0165,0.2126,0.9,1.7008,0.9972,0.9998,1.0017,56.2781,76.277,93.566,9.1697,7
201002,275,18.8218,23.0759,27.5388,0.0009,0.201,0.8688,1.608,0.9987,1.0007,1.0025,57.2565,77.9819,96.1105,8.7171,7
201003,356,18.3652,23.3153,28.2826,0.0341,0.1797,0.5482,1.4375,0.9979,1.0007,1.0027,50.3624,69.8648,86.7171,9.9174,4
201004,461,19.2632,22.6118,26.9885,0.0102,0.3058,1.4874,2.4465,0.9969,0.9993,1.0009,59.4117,80.619,96.1218,7.7253,7
201005,574,18.9964,24.8205,30.4195,0,0.0133,0.0584,0.1063,0.9977,1.0001,1.0019,41.3635,62.0579,82.1063,11.4231,3
201006,625,18.6393,22.2866,26.8952,0.0015,0.3917,1.5319,3.1335,0.9975,0.9996,1.0014,61.1014,79.2414,92.5013,8.2558,7
201007,828,19.2374,24.2063,29.752,0,0.0633,0.2528,0.5061,0.9977,1.0004,1.0023,49.87,71.4992,88.9864,10.5146,6
201008,1127,19.7934,23.8024,28.806,0.0001,0.2744,1.0907,2.1952,0.997,0.9995,1.0017,55.1307,76.4857,93.024,9.0127,7
201009,1232,20.4221,23.0671,27.0087,0.0265,0.3334,1.3229,2.6675,0.9969,0.9994,1.0012,68.2475,84.4087,97.4531,6.5865,7
201010,1072,19.8723,23.8132,28.6979,0.0013,0.0976,0.4313,0.7805,0.9964,0.9987,1.0008,56.5814,78.5553,96.056,8.8256,7
201011,1184,19.6768,23.6551,29.117,0.0003,0.233,1.1342,1.8636,0.999,1.0016,1.0037,51.4388,74.1167,91.9601,9.4402,6
201012,1116,19.4863,22.9385,27.5073,0.0085,0.1779,0.8043,1.4234,0.9977,1.0003,1.0024,60.7649,80.3644,95.5601,8.021,7
201013,1042,19.5011,22.3445,26.3738,0.1048,0.5383,1.7395,4.3064,0.9978,1.0002,1.0022,68.0147,84.0055,96.0731,6.8727,7
201014,1193,17.0066,21.4354,26.7115,0.0021,0.1661,0.8558,1.3286,0.9981,1.0005,1.0024,53.6266,73.6447,88.7951,9.7049,4
201015,1022,16.7529,21.9586,27.6699,0,0.0018,0.0093,0.0141,1.0004,1.0026,1.0046,43.5956,63.7025,82.0028,10.917,2
201016,878,18.7617,24.372,30.2256,0,0.0052,0.026,0.0417,0.9993,1.0016,1.0037,40.2009,62.7268,82.6797,11.4639,2
201017,969,18.4983,23.912,29.7851,0,0.0035,0.0185,0.0276,0.9998,1.0017,1.0042,37.0334,57.7118,77.237,11.2868,2
201018,1095,17.3682,23.2127,29.4234,0,0.0024,0.011,0.019,0.9996,1.0019,1.0042,35.2498,56.0679,76.5304,12.0551,1
201019,864,16.7741,22.2253,28.8339,0.0001,0.0348,0.1731,0.2782,0.9986,1.0013,1.0035,41.653,65.178,84.0373,12.0598,3
201020,750,17.419,23.2697,29.8044,0,0.004,0.0174,0.0322,0.9981,1.0007,1.0027,34.1407,55.8015,74.8042,12.3854,2
201021,683,17.3429,22.503,28.6379,0,0.0036,0.0157,0.0285,0.9992,1.0013,1.0036,37.3414,59.8596,82.335,11.295,2
201022,460,16.1944,21.5901,27.6881,0,0.0047,0.0223,0.0376,1.0025,1.0047,1.0071,41.1072,61.965,80.1646,11.4937,3
201023,282,15.8216,21.4824,27.7313,0,0.0007,0.0041,0.0058,1.0034,1.0056,1.0079,36.7113,59.8472,80.213,11.9096,0
201024,237,13.0847,20.175,27.9587,0,0,0,0,1.0018,1.0044,1.0068,26.8354,49.763,72.3694,14.874,0
201025,150,14.2169,21.0333,28.8626,0,0,0,0,1.0016,1.0038,1.0061,27.4937,49.4589,70.2845,14.6457,0
201026,147,14.3151,20.1149,26.4977,0,0,0,0,1.0036,1.006,1.0082,32.5506,53.351,72.4048,12.1826,0
201027,108,14.9968,20.5626,26.2759,0,0,0.0001,0.0001,1.0022,1.0046,1.0071,30.4977,49.9808,67.775,11.2791,0
201028,106,16.8357,22.7139,29.0304,0,0.0003,0.0026,0.0027,1.0009,1.003,1.0053,30.6729,49.616,67.7319,12.1947,0
201029,88,15.6198,21.3567,27.674,0,0,0,0,1.0038,1.0064,1.0089,28.544,47.2563,64.7448,12.0542,0
201030,69,14.685,20.3945,26.586,0,0,0.0003,0.0003,1.0028,1.0055,1.0079,30.9394,49.0986,67.8173,11.9009,0
201031,73,13.9473,21.261,28.4641,0,0,0,0,1.0016,1.0039,1.0065,24.4985,43.8182,64.6748,14.5168,0
201032,72,14.8472,22.0017,29.1298,0,0,0,0,1.0026,1.0051,1.0077,22.6307,38.9136,56.1756,14.2826,0
201033,49,13.7833,20.4689,27.5213,0,0,0,0,1.0026,1.0052,1.0079,25.2033,41.5443,59.4114,13.738,0
201034,55,15.0977,22.8595,30.256,0,0,0,0,1.0003,1.0031,1.0055,20.2507,35.8375,54.0334,15.1583,0
201035,39,17.7118,24.2334,30.7464,0,0,0,0,1.0003,1.0029,1.0056,21.2989,34.7917,48.9385,13.0346,0
201036,58,17.8384,24.6295,31.4331,0,0,0,0,1.0002,1.0029,1.0055,19.898,32.9913,48.1908,13.5947,0
201037,69,17.3524,25.0925,32.591,0,0,0,0,0.9982,1.001,1.0033,16.0889,29.1301,43.9651,15.2385,0
201038,92,18.4626,25.3889,31.8633,0,0,0.0003,0.0003,0.9976,1.0005,1.0033,20.8394,32.5858,45.8331,13.4007,0
201039,111,20.7444,24.9934,30.4696,0.0017,0.1668,0.9055,1.3342,0.9947,0.9973,0.9997,36.4923,53.62,67.4144,9.7252,4
201040,79,20.6938,26.1363,32.3935,0,0.0439,0.3439,0.3511,0.9969,0.9998,1.0023,31.4415,54.6775,75.5642,11.6997,2
201041,60,20.4545,25.1519,31.0115,0.0001,0.1514,0.7854,1.2116,0.9978,1.0008,1.0032,37.5672,62.3136,81.5739,10.5571,6
201042,56,19.9543,23.6081,28.2045,0.022,0.3942,1.2751,3.1532,0.9964,0.9992,1.0016,53.1846,76.1128,94.2358,8.2501,7
201043,52,19.5738,23.3341,28.5151,0.0129,0.3649,1.9093,2.919,0.9951,0.9973,0.9993,51.505,76.0675,94.0939,8.9412,6
201044,57,19.305,21.7781,25.1811,0.0605,0.4828,1.9387,3.8626,0.9974,0.9996,1.0016,69.0455,83.8842,94.7612,5.876,7
201045,36,19.5373,22.4021,25.8819,0.0055,0.4342,1.7234,3.4734,0.9978,0.9999,1.0019,63.8349,82.3089,95.3686,6.3446,7
201046,49,18.5488,22.1238,26.7083,0,0.3175,1.3304,2.5402,0.9958,0.9985,1.0009,58.7583,78.8684,95.5304,8.1595,7
201047,35,19.6452,22.6455,26.9715,0.0026,0.3326,1.6006,2.6607,0.9947,0.9972,0.9991,61.5921,80.5289,94.5273,7.3263,7
201048,46,19.456,23.5097,27.9999,0.0079,0.2105,0.973,1.6838,0.9958,0.9982,1.0001,57.61,77.473,94.4383,8.5439,7
201049,49,20.2266,23.4317,27.6833,0.0075,0.4508,1.7539,3.6061,0.9942,0.9967,0.9988,61.4364,81.0639,96.2549,7.4568,7
201050,56,19.5166,22.7049,26.4554,0.0656,0.2741,0.7576,2.1925,0.9936,0.9961,0.9981,62.8939,80.1255,95.953,6.9388,7
201051,62,18.7528,22.8312,27.3936,0.0011,0.2927,1.5526,2.3412,0.9967,0.9991,1.0011,52.2742,75.3716,94.2107,8.6408,7
201052,91,19.32755,21.3828,25.0797,0.1068,0.60535,1.6647,9.6855,0.99415,0.99615,0.9978,73.3394,87.69435,97.01715,5.75215,6
201101,99,18.9323,21.444,24.8515,0.0899,0.5737,1.5442,4.5893,0.996,0.9979,0.9994,67.0833,84.4597,95.5053,5.9192,7
201102,116,19.4083,21.6181,24.4999,0.032,0.3236,0.8836,2.5888,0.9962,0.9984,1.0003,72.1785,85.8247,96.2785,5.0916,7
201103,155,19.3934,23.4371,27.6003,0.0013,0.1623,0.844,1.2982,0.9947,0.9974,0.9996,55.5368,75.8301,94.0497,8.2069,7
201104,140,18.8513,23.2566,28.0004,0.0005,0.0922,0.4413,0.7377,0.9977,1,1.0023,51.5698,72.3729,91.4087,9.1492,5
201105,179,19.333,24.2623,29.6458,0,0.0789,0.3436,0.6316,0.9963,0.9995,1.0017,44.5137,67.1549,88.129,10.3128,4
201106,192,18.4878,22.9704,27.7651,0,0.1947,0.9328,1.5577,0.9974,0.9999,1.0017,53.1332,75.5916,95.2314,9.2773,7
201107,190,18.805,22.0895,26.194,0.023,0.5492,2.1079,4.3934,0.9975,1,1.002,62.1885,82.0812,95.9573,7.389,6
201108,195,19.1965,22.3213,26.521,0.0026,0.2661,1.3879,2.1292,0.9968,0.9994,1.0013,60.913,79.9966,93.1783,7.3245,7
201109,221,19.0302,21.8953,25.7233,0.026,0.322,1.1311,2.5757,0.996,0.9982,1,65.5015,84.5335,97.367,6.6931,7
201110,270,19.1569,22.0158,26.3206,0.0125,0.2994,1.1249,2.3952,0.9963,0.9987,1.0005,66.6233,85.425,97.7738,7.1637,7
201111,264,19.2103,22.1834,26.1479,0.0232,0.3561,0.9405,2.8489,0.9966,0.9989,1.0009,69.8646,86.5321,98.2922,6.9376,7
201112,299,19.0634,21.9685,26.3294,0.0144,0.3102,1.4197,2.4815,0.9981,1.0003,1.0022,65.3993,83.0661,94.1028,7.266,7
201113,311,19.2142,23.4778,28.5624,0,0.0572,0.2954,0.4574,0.9974,1.0004,1.0028,51.6508,75.6788,95.0658,9.3482,7
201114,290,18.9153,22.3876,26.9839,0.0032,0.2262,1.0403,1.8101,0.9986,1.0006,1.0024,61.9441,81.8927,96.2686,8.0686,7
201115,307,18.264,22.6869,27.9271,0,0.0813,0.4239,0.6502,0.999,1.0013,1.0034,53.3298,75.1369,91.6934,9.6631,4
201116,262,17.6846,22.7526,28.2427,0,0.0049,0.0336,0.0395,0.9997,1.0017,1.0035,45.6811,67.546,84.82,10.5582,1
201117,266,16.7142,21.8878,27.6429,0,0.0095,0.0616,0.0762,0.9994,1.0017,1.004,42.0858,65.0141,83.508,10.9287,2
201118,278,17.8862,22.7431,28.1036,0,0.0012,0.0069,0.0094,0.9999,1.0019,1.0042,45.2224,66.8411,87.2943,10.2174,1
201119,271,15.4733,21.225,27.3164,0,0,0,0,0.999,1.0014,1.0034,39.5784,59.5885,76.5092,11.843,0
201120,212,16.4608,21.1934,26.7715,0,0.0297,0.1919,0.2379,0.9994,1.0014,1.0032,46.0453,67.7643,86.3775,10.3107,4
201121,155,14.7395,19.9486,25.6675,0,0.0012,0.0066,0.0096,1.0021,1.0044,1.0063,40.1503,61.9213,79.4172,10.928,1
201122,110,15.7027,21.0709,27.1396,0,0,0,0,1.0005,1.0026,1.0047,36.4459,56.0834,72.2695,11.4369,0
201123,101,15.9071,20.9524,26.828,0,0.0051,0.0162,0.0406,1.0011,1.0033,1.0056,43.6739,64.1045,80.3118,10.921,3
201124,87,14.3794,19.9941,26.1089,0,0.0007,0.0055,0.0059,1.0026,1.005,1.0072,37.2902,59.2255,77.1006,11.7296,0
201125,70,14.0193,20.4494,27.7841,0,0,0,0,1.001,1.0032,1.0055,31.8892,55.3126,76.2239,13.7647,0
201126,41,14.5085,20.5269,27.1204,0,0.0003,0.0009,0.002,1.0008,1.0032,1.0055,36.463,60.124,81.1004,12.6119,0
201127,56,13.5064,20.7159,28.4078,0,0,0,0,1.0009,1.0031,1.0055,29.529,53.5271,75.6797,14.9015,0
201128,58,13.8675,20.4602,27.4866,0,0,0,0,1.0013,1.0037,1.0061,28.2399,48.654,67.6269,13.6191,0
201129,69,15.1972,21.6691,28.0599,0,0,0,0,1.0022,1.0043,1.0064,30.3389,49.3161,67.1113,12.8627,0
201130,74,14.4508,19.9937,26.3866,0,0.0002,0.0014,0.0015,1.0017,1.0044,1.0067,33.1838,53.254,72.1103,11.9358,0
201131,72,14.7948,22.1027,29.9251,0,0,0,0,1,1.0023,1.0047,26.0497,45.967,64.763,15.1303,0
201132,63,16.8873,24.0137,31.0207,0,0,0,0,1.0004,1.0029,1.0053,24.8006,42.8366,61.4944,14.1334,0
201133,55,14.5228,22.2899,29.7963,0,0,0,0,0.9991,1.0017,1.0041,19.7222,34.3591,50.423,15.2735,0
201134,66,17.0679,23.1492,29.514,0,0,0,0,1.0016,1.004,1.0065,25.4222,40.3332,56.4833,12.4461,0
201135,79,17.8793,24.8673,31.7929,0,0,0,0,1.0005,1.0029,1.0054,22.848,35.9748,50.1129,13.9136,0
201136,58,15.635,24.0912,32.2127,0,0,0,0,0.9989,1.0016,1.0043,14.8934,27.1954,40.4079,16.5777,0
201137,78,18.5665,24.6755,30.6864,0,0.0001,0.0011,0.0011,1.0008,1.0031,1.0057,24.6516,35.6256,47.2758,12.1199,0
201138,93,16.6382,23.8341,30.8732,0,0,0,0,0.9994,1.0022,1.0049,21.3813,33.4351,46.2849,14.235,0
201139,97,18.3602,24.509,30.7934,0,0.0113,0.0633,0.0903,0.999,1.0018,1.0041,26.2009,43.7078,61.7156,12.4332,2
201140,76,18.0907,21.5373,26.2966,0.0021,0.2511,1.3914,2.0084,0.9993,1.0014,1.0034,55.5916,75.5508,87.6816,8.2059,7
201141,90,19.2986,22.853,28.1153,0.0021,0.4632,2.4338,3.7057,0.9956,0.9982,1.0005,55.9987,78.0077,92.2859,8.8168,7
201142,74,17.2129,19.7477,23.0267,0.0698,0.5253,1.4949,4.2029,0.9978,0.9998,1.0016,69.8823,84.2267,95.0837,5.8138,6
201143,70,17.9008,22.5189,28.4736,0.0018,0.1706,0.9822,1.3648,0.9977,1.0006,1.0026,51.9164,76.5177,95.1264,10.5728,6
201144,86,18.0043,21.7497,26.5558,0,0.1488,0.8806,1.1905,0.999,1.0009,1.0028,55.5405,74.9283,89.1332,8.5515,6
201145,83,17.1839,20.7051,25.044,0.0014,0.1692,0.5446,1.3533,0.9985,1.0006,1.0024,57.5332,75.4004,88.2416,7.8601,6
201146,64,18.5298,22.6142,27.2177,0.002,0.1171,0.3976,0.9372,0.9961,0.9983,1.0001,56.0457,76.0876,91.572,8.6879,7
201147,64,18.8453,21.7818,25.7523,0.0144,0.5416,2.1433,4.3326,0.9972,0.9994,1.0012,66.8656,83.3672,95.5096,6.907,7
201148,67,18.02,20.6466,23.9578,0.0632,0.7606,2.8122,6.0842,0.9964,0.9988,1.0005,72.1216,86.7889,96.5346,5.9378,7
201149,108,18.7728,22.1545,26.0299,0.0016,0.2317,0.8639,1.8533,0.9962,0.9986,1.0004,60.2858,77.1901,91.7753,7.2571,6
201150,86,19.019,20.9835,23.9833,0.0477,0.7054,2.2527,5.6433,0.9961,0.9981,0.9997,74.9467,87.502,95.8337,4.9643,7
201151,56,18.61,21.3308,25.0403,0.0283,0.3588,1.3002,2.8702,0.9985,1.0005,1.0021,66.0994,83.1325,95.2624,6.4303,7
201152,76,18.9741,21.7673,25.6202,0.0003,0.3292,2.0236,2.6338,0.9988,1.0011,1.0029,66.034,83.6129,95.7898,6.6461,7
201201,121,18.5469,20.8643,23.7796,0.0138,0.5044,1.976,4.0351,0.9976,0.9997,1.0016,73.2547,86.3289,96.5083,5.2327,7
201202,100,18.1,20.3659,23.2081,0.0049,0.295,1.1511,2.3601,1,1.0019,1.0036,69.1636,82.9971,93.0829,5.1082,7
201203,105,17.9108,21.0695,25.0272,0.0044,0.4599,2.1238,3.6792,0.9984,1.0009,1.0027,63.1049,82.9177,96.7958,7.1164,7
201204,84,17.9875,22.2268,27.0424,0,0.2632,1.3271,2.1056,0.9974,0.9996,1.0015,58.3547,77.5959,94.7005,9.055,7
201205,91,17.7718,21.8359,26.4963,0.0059,0.2823,1.0825,2.2587,0.9976,0.9999,1.0019,59.2429,79.2718,95.2478,8.7245,6
201206,104,18.5929,22.9492,27.7303,0.0122,0.1478,0.5814,1.1823,0.9974,0.9998,1.0017,51.197,70.2857,88.4527,9.1374,7
201207,66,17.8901,21.1163,25.8947,0.0834,0.3464,1.1268,2.7709,0.9996,1.0015,1.0033,61.1167,80.4251,92.7446,8.0046,7
201208,102,18.2071,22.1298,27.1474,0,0.2859,1.6083,2.2872,0.9973,1.0002,1.0021,55.9599,77.9433,94.8647,8.9403,7
201209,115,18.4985,23.9397,29.5796,0,0.0057,0.0342,0.0455,0.9972,0.9997,1.002,41.3202,64.228,84.6401,11.0811,2
201210,121,18.1436,22.9592,28.4069,0,0.0617,0.3898,0.4939,0.9986,1.0007,1.0028,42.0562,62.5587,79.5385,10.2633,5
