epiweek,cases,temp_min,temp_med,temp_max,precip_min,precip_med,precip_max,precip_tot,pressure_min,pressure_med,pressure_max,rel_humid_min,rel_humid_med,rel_humid_max,thermal_range,rainy_days
201001,425,22.68924,26.289606,31.02893,0.000478,0.177546,0.905138,71.0186,0.997356,0.999092,1.000632,60.032672,79.1363,92.443102,8.339678,7
201002,445,22.590074,26.544428,31.112136,0.005362,0.148748,0.60882,59.4984,0.998326,1.000056,1.001458,57.909158,75.716454,89.430696,8.522052,7
201003,463,22.545436,26.370526,31.316328,9.6e-05,0.158694,0.840038,63.4759,0.998458,1.00053,1.002118,55.58784,75.545628,89.878466,8.770898,7
201004,530,22.102078,25.823366,30.46996,0.010638,0.146882,0.564952,58.7561,0.998364,0.9999,1.001246,57.27022,76.35005,90.633004,8.367892,7
201005,640,22.871096,27.349048,32.472462,0,0.017312,0.111236,6.9285,0.99919,1.001282,1.002824,47.966576,70.75145,89.528396,9.601366,7
201006,567,22.712008,27.263512,32.515758,0,0.06034,0.35667,24.1352,0.997402,0.999264,1.000768,49.015288,69.305128,87.29492,9.803764,7
201007,639,22.450406,26.436658,31.278256,0.008426,0.101794,0.390032,40.7145,0.999338,1.001386,1.00285,54.221352,73.615008,89.817464,8.827858,7
201008,881,22.159512,25.81336,30.34187,0.01486,0.385788,1.377552,154.3165,0.997558,0.999658,1.001352,56.416774,74.844732,89.652314,8.182372,7
201009,916,20.358242,22.338246,24.948114,0.18367,0.737716,1.831508,295.0876,0.999516,1.00118,1.002552,78.480156,88.079686,94.245034,4.58987,7
201010,797,21.792762,26.036018,31.278464,0.044538,0.196442,0.859464,78.5796,0.994052,0.995964,0.997732,55.925526,78.754024,93.621908,9.485696,7
201011,935,21.568284,24.581218,28.6876,0.045022,0.421844,1.462568,168.7359,1.000462,1.002606,1.004276,67.301168,83.566852,93.83873,7.119294,7
201012,994,21.942662,25.522372,30.235666,0.000108,0.085282,0.475794,34.1131,0.99804,0.999838,1.001532,61.243208,80.907346,93.787396,8.292998,7
201013,1171,21.483474,24.678748,28.838696,0.012836,0.282604,1.199856,113.0402,0.999052,1.000744,1.002304,66.369476,83.556914,94.918058,7.35522,7
