date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95
2025-10-05,13,16,20,30,46,70,103,130,157
2025-10-12,12,15,19,28,44,67,101,128,156
2025-10-19,11,14,18,27,42,65,98,125,153
2025-10-26,10,13,17,25,40,64,97,124,152
2025-11-02,10,13,17,25,40,65,99,127,157
2025-11-09,10,13,17,26,42,67,104,134,167
2025-11-16,10,13,17,27,43,71,110,142,178
2025-11-23,10,13,17,27,44,73,113,146,185
2025-11-30,10,13,17,27,44,73,115,148,188
2025-12-07,11,13,17,27,45,75,118,154,195
2025-12-14,11,14,18,29,48,80,127,166,210
2025-12-21,12,15,20,31,52,87,139,182,231
2026-01-04,12,16,20,32,55,91,147,193,246
2026-01-11,13,16,21,33,56,93,150,197,252
2026-01-18,13,16,21,34,57,96,154,204,260
2026-01-25,14,18,23,36,62,105,168,225,284
2026-02-01,16,20,26,41,71,119,192,257,323
2026-02-08,17,22,29,47,79,134,217,291,365
2026-02-15,19,24,31,51,87,148,238,317,399
2026-02-22,21,26,34,56,95,162,260,344,434
2026-03-01,23,29,39,63,107,182,291,384,486
2026-03-08,26,34,45,73,123,211,337,445,563
2026-03-15,31,39,52,85,143,245,393,517,656
2026-03-22,35,44,59,96,162,278,444,583,746
2026-03-29,38,49,65,105,178,304,486,636,821
2026-04-05,41,53,70,113,192,328,523,685,887
2026-04-12,45,57,76,123,209,357,570,749,970
2026-04-19,49,62,82,135,230,393,627,830,1072
2026-04-26,53,67,89,148,252,428,684,910,1176
2026-05-03,57,71,94,157,269,456,729,972,1259
2026-05-10,59,75,99,164,282,478,764,1020,1319
2026-05-17,62,78,104,172,296,501,802,1074,1382
2026-05-24,66,83,110,181,313,531,853,1145,1466
2026-05-31,70,88,117,193,333,565,910,1226,1564
2026-06-07,73,92,122,202,349,593,957,1290,1644
2026-06-14,74,94,125,206,356,605,979,1317,1680
2026-06-21,74,94,126,205,354,603,980,1314,1678
2026-06-28,74,94,126,204,351,600,979,1308,1670
2026-07-05,73,94,126,204,351,599,983,1311,1670
2026-07-12,72,93,124,203,348,596,980,1305,1661
2026-07-19,70,89,120,196,336,578,953,1267,1614
2026-07-26,66,84,113,185,317,547,903,1197,1531
2026-08-02,61,78,106,172,295,509,841,1114,1431
2026-08-09,56,73,98,160,275,474,784,1040,1342
2026-08-16,52,68,92,151,259,446,738,983,1272
2026-08-23,49,64,86,142,244,419,693,930,1202
2026-08-30,45,59,80,131,225,387,639,862,1114
2026-09-06,41,53,72,118,204,350,577,784,1013
2026-09-13,37,48,66,107,185,317,522,711,920
2026-09-20,35,45,60,99,171,292,481,657,850
2026-09-27,33,42,57,93,162,274,452,619,798
2026-10-04,31,39,53,88,152,259,425,582,747
