date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95
2025-10-05,19,24,32,52,90,154,251,349,450
2025-10-12,20,26,35,58,102,176,293,409,540
2025-10-19,22,29,39,65,116,203,346,479,651
2025-10-26,24,32,43,74,132,234,404,559,774
2025-11-02,26,35,48,83,151,271,469,655,906
2025-11-09,30,39,54,94,173,316,545,770,1059
2025-11-16,34,44,62,107,200,369,640,906,1249
2025-11-23,38,51,71,123,232,434,758,1072,1485
2025-11-30,44,60,84,145,274,516,902,1281,1769
2025-12-07,52,70,98,169,323,613,1067,1527,2080
2025-12-14,60,80,112,195,375,719,1245,1795,2410
2025-12-21,68,91,128,224,430,830,1443,2075,2768
2026-01-04,77,103,145,255,490,946,1669,2375,3175
2026-01-11,87,117,165,292,559,1075,1920,2716,3627
2026-01-18,97,132,186,332,635,1217,2183,3090,4112
2026-01-25,109,147,207,373,711,1357,2434,3461,4584
2026-02-01,117,160,224,407,774,1474,2646,3767,4988
2026-02-08,123,168,236,431,817,1553,2802,3976,5295
2026-02-15,126,173,244,448,848,1609,2923,4136,5541
2026-02-22,130,178,253,463,876,1661,3022,4291,5749
2026-03-01,134,183,260,475,901,1709,3099,4437,5921
2026-03-08,136,184,262,479,911,1730,3126,4506,5999
2026-03-15,134,181,258,470,895,1704,3080,4443,5935
2026-03-22,128,173,247,449,856,1638,2970,4264,5729
2026-03-29,121,164,234,425,811,1560,2836,4060,5467
2026-04-05,115,155,222,401,766,1484,2689,3867,5179
2026-04-12,110,147,209,377,723,1404,2533,3672,4886
2026-04-19,103,136,193,350,671,1304,2353,3419,4547
2026-04-26,93,125,176,318,610,1186,2150,3110,4169
2026-05-03,83,112,157,284,544,1060,1929,2772,3755
2026-05-10,74,100,139,253,484,944,1716,2465,3343
2026-05-17,66,89,124,225,432,841,1525,2205,2963
2026-05-24,59,79,111,200,385,744,1352,1959,2617
2026-05-31,51,69,98,175,338,648,1189,1712,2301
2026-06-07,43,60,84,151,292,557,1030,1467,2000
2026-06-14,37,51,72,129,249,477,880,1248,1719
2026-06-21,32,44,62,111,215,413,753,1076,1476
2026-06-28,28,38,54,97,188,361,655,944,1287
2026-07-05,24,34,48,86,167,320,584,839,1149
2026-07-12,21,30,43,78,150,287,530,756,1047
2026-07-19,20,27,39,72,137,264,489,695,970
2026-07-26,18,25,36,67,128,248,459,656,913
2026-08-02,17,24,34,64,122,237,440,635,881
2026-08-09,17,23,33,62,119,231,433,625,871
2026-08-16,16,23,33,62,119,231,437,631,883
2026-08-23,16,23,33,62,121,236,446,647,903
2026-08-30,17,23,34,63,124,242,457,667,928
2026-09-06,17,23,34,64,126,248,468,685,953
2026-09-13,17,23,34,65,129,253,479,704,981
2026-09-20,17,24,35,66,133,262,497,729,1018
2026-09-27,18,25,37,69,139,276,522,767,1070
2026-10-04,19,27,39,73,147,294,554,816,1133
