date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95
2025-10-05,37,46,60,92,149,239,365,469,596
2025-10-12,36,45,59,92,151,246,381,495,630
2025-10-19,36,46,61,96,160,264,414,543,689
2025-10-26,39,50,66,105,175,291,461,609,771
2025-11-02,42,54,73,116,194,324,517,687,868
2025-11-09,45,59,80,129,216,362,582,776,983
2025-11-16,50,65,88,143,240,405,655,875,1111
2025-11-23,56,72,98,159,268,451,733,980,1253
2025-11-30,63,81,109,178,303,508,827,1106,1422
2025-12-07,74,94,126,205,350,586,955,1276,1647
2025-12-14,87,111,148,240,414,693,1126,1509,1950
2025-12-21,105,135,179,290,501,844,1368,1839,2374
2026-01-04,128,167,221,357,620,1051,1698,2290,2954
2026-01-11,158,206,274,443,769,1311,2117,2860,3687
2026-01-18,195,254,338,547,948,1621,2624,3546,4560
2026-01-25,240,311,417,672,1162,1990,3233,4359,5608
2026-02-01,294,379,509,819,1414,2420,3946,5304,6823
2026-02-08,357,458,617,993,1710,2926,4784,6409,8240
2026-02-15,430,550,740,1195,2055,3514,5753,7686,9864
2026-02-22,511,651,875,1418,2438,4174,6823,9092,11658
2026-03-01,598,760,1018,1657,2848,4886,7961,10596,13567
2026-03-08,688,875,1167,1905,3274,5628,9139,12142,15526
2026-03-15,772,982,1305,2134,3664,6311,10211,13548,17306
2026-03-22,836,1068,1416,2315,3974,6848,11053,14659,18702
2026-03-29,881,1126,1492,2436,4180,7204,11611,15385,19611
2026-04-05,903,1152,1527,2490,4271,7359,11849,15703,19997
2026-04-12,902,1147,1522,2476,4249,7315,11780,15620,19870
2026-04-19,879,1114,1479,2402,4127,7099,11441,15186,19306
2026-04-26,840,1063,1411,2290,3936,6766,10918,14507,18434
2026-05-03,784,989,1314,2131,3668,6301,10181,13540,17204
2026-05-10,712,900,1194,1936,3339,5736,9276,12360,15696
2026-05-17,628,797,1055,1713,2956,5079,8223,10977,13939
2026-05-24,537,684,905,1470,2541,4361,7080,9451,12017
2026-05-31,447,572,755,1230,2127,3640,5938,7915,10083
2026-06-07,365,468,618,1009,1743,2974,4876,6494,8302
2026-06-14,292,375,496,811,1398,2379,3924,5219,6708
2026-06-21,230,296,394,642,1105,1878,3120,4148,5365
2026-06-28,180,232,310,505,868,1478,2470,3283,4281
2026-07-05,139,180,242,395,679,1165,1954,2600,3417
2026-07-12,108,139,188,308,531,922,1544,2061,2730
2026-07-19,84,109,147,241,418,735,1227,1645,2195
2026-07-26,66,86,116,191,333,592,986,1329,1781
2026-08-02,53,69,94,154,269,484,808,1095,1473
2026-08-09,44,58,78,127,224,406,680,930,1255
2026-08-16,37,49,66,109,193,352,595,823,1110
2026-08-23,33,43,59,97,173,319,544,759,1024
2026-08-30,30,40,54,90,162,301,518,727,981
2026-09-06,29,38,53,88,159,295,512,719,972
2026-09-13,29,38,52,88,158,294,514,720,976
2026-09-20,29,38,53,89,160,296,519,726,984
2026-09-27,29,38,53,90,161,299,524,733,996
2026-10-04,29,39,53,90,163,303,530,744,1011
