date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95
2025-10-05,10,12,17,28,48,90,137,177,233
2025-10-12,10,13,17,28,51,91,154,194,246
2025-10-19,10,13,18,29,55,89,166,213,264
2025-10-26,10,14,19,31,57,89,170,233,291
2025-11-02,11,14,20,33,59,96,171,253,326
2025-11-09,11,15,20,37,62,114,178,274,373
2025-11-16,13,17,23,41,69,143,207,306,429
2025-11-23,15,19,27,46,82,174,261,352,493
2025-11-30,18,23,33,53,101,201,329,417,571
2025-12-07,21,28,39,62,121,223,394,503,676
2025-12-14,25,33,46,76,144,250,458,616,824
2025-12-21,29,40,55,94,174,298,539,762,1023
2026-01-04,35,49,67,116,210,372,649,936,1266
2026-01-11,42,58,80,140,252,466,784,1119,1520
2026-01-18,49,67,93,163,295,561,933,1299,1759
2026-01-25,56,75,106,184,339,643,1080,1473,1977
2026-02-01,63,84,119,204,380,712,1216,1646,2189
2026-02-08,70,94,133,228,426,785,1360,1845,2437
2026-02-15,80,106,151,258,483,884,1538,2099,2766
2026-02-22,91,122,173,298,555,1022,1769,2419,3199
2026-03-01,105,141,200,345,639,1192,2050,2804,3725
2026-03-08,120,160,227,393,724,1362,2333,3200,4268
2026-03-15,132,178,250,436,799,1499,2576,3570,4757
2026-03-22,141,191,267,467,852,1583,2742,3853,5112
2026-03-29,146,199,277,485,884,1620,2839,4031,5311
2026-04-05,148,203,281,492,901,1632,2900,4119,5387
2026-04-12,148,202,281,489,902,1630,2921,4114,5358
2026-04-19,145,197,274,476,880,1604,2870,3999,5220
2026-04-26,138,187,259,454,834,1543,2731,3783,4978
2026-05-03,129,173,240,424,773,1445,2527,3505,4657
2026-05-10,117,157,218,387,701,1313,2279,3180,4271
2026-05-17,105,140,194,345,622,1158,2011,2824,3818
2026-05-24,92,122,170,302,546,1005,1755,2468,3342
2026-05-31,80,107,148,261,474,866,1525,2133,2877
2026-06-07,69,92,128,223,408,747,1316,1828,2448
2026-06-14,59,79,110,190,347,643,1120,1558,2073
2026-06-21,50,67,93,161,293,550,944,1328,1756
2026-06-28,42,57,79,137,248,464,792,1132,1490
2026-07-05,36,48,67,116,210,389,671,966,1266
2026-07-12,30,41,57,98,180,326,578,826,1079
2026-07-19,26,35,50,84,157,280,507,711,929
2026-07-26,23,31,43,72,136,246,447,615,810
2026-08-02,20,27,37,63,118,220,389,533,713
2026-08-09,17,23,32,55,102,196,336,463,630
2026-08-16,15,20,28,48,89,172,292,405,554
2026-08-23,13,18,24,42,78,151,255,357,489
2026-08-30,12,15,21,37,69,132,226,316,431
2026-09-06,10,14,19,33,61,118,204,285,383
2026-09-13,9,13,17,30,57,108,192,263,348
2026-09-20,9,12,16,28,53,102,181,248,326
2026-09-27,8,11,15,27,50,98,172,240,317
2026-10-04,8,11,15,26,49,95,166,237,317
