date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95
2025-10-05,27,32,40,57,86,127,182,225,270
2025-10-12,28,34,42,61,92,138,198,246,297
2025-10-19,30,37,46,67,101,152,220,275,334
2025-10-26,33,41,50,74,112,170,246,308,375
2025-11-02,36,44,55,81,124,189,273,343,418
2025-11-09,39,48,60,88,136,209,302,380,464
2025-11-16,42,52,65,96,148,228,331,416,510
2025-11-23,45,55,70,103,159,247,359,451,555
2025-11-30,49,60,75,111,171,266,388,488,602
2025-12-07,53,64,81,119,185,287,422,531,656
2025-12-14,58,71,89,131,204,317,469,590,728
2025-12-21,66,80,101,149,231,361,535,673,830
2026-01-04,77,93,117,173,269,420,624,784,964
2026-01-11,89,107,135,201,312,488,725,911,1119
2026-01-18,101,122,154,229,355,558,827,1039,1275
2026-01-25,113,135,171,254,394,621,919,1155,1417
2026-02-01,123,148,187,276,430,677,1003,1261,1547
2026-02-08,134,162,204,300,468,734,1088,1370,1682
2026-02-15,146,177,223,326,510,797,1183,1492,1835
2026-02-22,160,195,245,358,560,871,1295,1635,2012
2026-03-01,176,214,269,395,619,960,1427,1802,2214
2026-03-08,194,236,297,440,688,1065,1579,1996,2447
2026-03-15,212,259,327,486,759,1174,1735,2199,2690
2026-03-22,230,283,355,531,828,1280,1885,2394,2927
2026-03-29,246,303,381,570,888,1371,2016,2564,3140
2026-04-05,259,320,402,600,933,1442,2117,2697,3314
2026-04-12,267,331,416,619,964,1489,2186,2788,3441
2026-04-19,271,336,423,628,979,1512,2225,2840,3516
2026-04-26,272,336,424,628,982,1518,2238,2861,3552
2026-05-03,269,331,420,621,973,1506,2226,2851,3540
2026-05-10,261,320,407,602,944,1464,2168,2782,3447
2026-05-17,244,298,381,564,884,1374,2037,2617,3237
2026-05-24,219,267,341,507,794,1236,1835,2362,2916
2026-05-31,188,230,292,436,681,1063,1580,2037,2512
2026-06-07,155,190,240,360,561,877,1306,1686,2078
2026-06-14,123,151,190,285,444,695,1037,1341,1656
2026-06-21,95,118,147,222,345,541,808,1045,1296
2026-06-28,74,91,114,172,268,421,629,814,1013
2026-07-05,58,71,90,135,213,336,501,646,808
2026-07-12,47,57,73,110,176,278,413,531,665
2026-07-19,40,48,62,94,151,239,356,456,571
2026-07-26,35,43,55,84,134,213,317,405,505
2026-08-02,32,39,50,75,120,191,285,364,452
2026-08-09,28,35,45,67,107,170,255,326,402
2026-08-16,25,31,40,60,94,151,227,289,356
2026-08-23,22,28,35,53,84,135,205,260,318
2026-08-30,20,25,32,48,77,123,187,237,290
2026-09-06,19,23,29,45,72,115,175,221,272
2026-09-13,18,22,28,43,69,109,167,212,262
2026-09-20,18,22,28,42,67,107,163,208,260
2026-09-27,18,22,28,42,68,108,164,210,263
2026-10-04,18,23,29,44,70,111,170,218,273
