date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95
2025-10-05,22,26,30,41,56,78,103,122,141
2025-10-12,22,26,31,42,58,80,106,125,145
2025-10-19,23,27,33,44,61,85,113,133,153
2025-10-26,25,29,35,48,66,92,122,144,166
2025-11-02,27,32,38,52,72,99,133,156,181
2025-11-09,30,34,41,56,78,107,143,169,196
2025-11-16,31,37,44,59,83,114,153,181,210
2025-11-23,33,39,47,63,88,121,162,193,223
2025-11-30,36,42,51,68,95,132,176,210,243
2025-12-07,40,47,57,76,106,147,197,235,272
2025-12-14,46,54,65,87,122,170,226,270,313
2025-12-21,54,64,77,103,144,200,267,318,369
2026-01-04,64,76,91,123,172,238,319,379,441
2026-01-11,76,89,108,146,204,283,379,451,523
2026-01-18,88,103,124,169,235,327,439,523,608
2026-01-25,99,116,139,189,264,368,495,589,685
2026-02-01,108,128,153,208,290,405,546,651,756
2026-02-08,117,138,166,224,313,438,592,708,820
2026-02-15,124,147,175,237,332,464,629,753,872
2026-02-22,129,152,182,245,344,482,653,783,910
2026-03-01,131,155,186,251,352,493,669,803,937
2026-03-08,133,157,188,254,355,497,676,812,951
2026-03-15,132,156,188,253,354,495,674,809,952
2026-03-22,129,152,183,247,346,483,658,790,932
2026-03-29,123,145,175,236,331,462,630,755,893
2026-04-05,116,137,165,224,313,438,597,715,845
2026-04-12,110,129,155,211,295,415,564,676,798
2026-04-19,103,121,146,198,278,393,534,639,753
2026-04-26,97,113,137,186,262,371,504,604,711
2026-05-03,91,106,129,176,248,350,477,571,671
2026-05-10,85,100,122,166,234,330,450,539,633
2026-05-17,80,94,114,156,220,311,425,509,597
2026-05-24,74,88,107,146,205,290,397,476,558
2026-05-31,68,81,98,135,189,267,366,439,515
2026-06-07,62,75,90,123,173,243,335,403,472
2026-06-14,57,68,82,112,158,222,305,368,431
2026-06-21,52,62,75,102,145,204,280,339,398
2026-06-28,48,57,69,94,134,189,260,315,372
2026-07-05,44,53,64,88,126,178,245,298,352
2026-07-12,42,50,61,83,120,170,235,286,338
2026-07-19,40,47,58,80,115,164,227,276,327
2026-07-26,38,45,55,76,110,158,219,266,315
2026-08-02,36,42,52,72,104,150,208,253,299
2026-08-09,33,39,48,66,96,139,194,237,280
2026-08-16,30,35,43,60,88,127,178,218,258
2026-08-23,27,32,39,54,79,115,161,198,234
2026-08-30,23,28,34,48,70,103,144,178,211
2026-09-06,21,25,30,43,63,92,130,161,191
2026-09-13,18,22,27,39,57,84,119,147,176
2026-09-20,17,20,25,36,54,78,111,138,165
2026-09-27,16,19,24,35,52,75,107,133,159
2026-10-04,16,19,24,34,51,75,106,131,158
