date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95
2025-10-05,10,13,16,24,37,55,82,102,125
2025-10-12,10,12,15,23,36,54,81,103,126
2025-10-19,10,12,16,24,38,58,88,115,143
2025-10-26,11,14,18,27,43,68,104,135,173
2025-11-02,12,15,19,30,48,76,118,152,195
2025-11-09,13,16,21,32,50,81,125,164,205
2025-11-16,14,18,23,35,55,90,139,188,228
2025-11-23,17,22,28,43,69,114,176,236,292
2025-11-30,21,27,35,55,90,147,230,300,381
2025-12-07,25,32,42,66,109,180,284,371,472
2025-12-14,31,39,51,81,133,221,348,462,586
2025-12-21,40,51,66,105,173,288,456,606,774
2026-01-04,52,66,87,138,230,382,607,797,1027
2026-01-11,64,82,108,172,288,479,761,999,1286
2026-01-18,78,100,131,206,345,577,914,1213,1552
2026-01-25,94,122,159,250,416,699,1106,1473,1887
2026-02-01,114,147,192,304,509,853,1352,1786,2309
2026-02-08,133,172,226,357,600,1006,1596,2098,2731
2026-02-15,148,192,253,399,670,1125,1789,2360,3057
2026-02-22,162,210,276,436,729,1229,1958,2598,3341
2026-03-01,175,228,301,476,798,1342,2145,2844,3651
2026-03-08,186,243,322,511,863,1447,2320,3065,3948
2026-03-15,193,251,334,530,897,1505,2422,3209,4129
2026-03-22,194,252,334,533,900,1515,2445,3261,4176
2026-03-29,192,248,330,530,895,1509,2445,3263,4166
2026-04-05,189,242,323,522,890,1496,2432,3232,4128
2026-04-12,180,229,307,498,854,1437,2342,3105,3963
2026-04-19,165,210,281,457,785,1328,2167,2882,3658
2026-04-26,150,191,254,415,713,1215,1984,2642,3335
2026-05-03,136,173,230,379,655,1122,1834,2428,3070
2026-05-10,121,155,208,343,598,1027,1680,2211,2816
2026-05-17,105,135,181,299,522,905,1484,1958,2499
2026-05-24,88,114,154,253,441,776,1274,1691,2148
2026-05-31,74,97,130,215,376,667,1101,1460,1852
2026-06-07,62,82,111,184,326,579,961,1268,1622
2026-06-14,51,68,93,154,275,492,819,1086,1409
2026-06-21,42,55,76,125,223,407,679,913,1196
2026-06-28,34,45,62,103,185,341,573,776,1026
2026-07-05,29,38,53,90,163,301,508,684,919
2026-07-12,25,33,46,79,145,268,457,616,839
2026-07-19,22,29,40,68,126,236,405,555,757
2026-07-26,20,26,35,61,112,214,369,516,698
2026-08-02,19,25,34,59,109,208,361,509,684
2026-08-09,18,25,33,59,109,208,365,514,692
2026-08-16,18,24,32,56,105,202,358,507,688
2026-08-23,17,22,31,54,100,193,345,493,669
2026-08-30,16,21,29,51,97,187,336,483,653
2026-09-06,15,20,28,50,95,184,332,479,645
2026-09-13,14,19,27,49,92,179,326,470,635
2026-09-20,14,18,26,46,88,172,314,456,616
2026-09-27,13,18,25,45,85,168,308,451,609
2026-10-04,13,18,26,46,88,174,318,465,627
