date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95
2025-10-05,4,6,9,19,44,100,216,343,507
2025-10-12,4,5,8,18,43,100,218,348,520
2025-10-19,3,5,8,18,43,101,220,353,530
2025-10-26,4,5,9,19,44,103,222,358,536
2025-11-02,4,6,9,20,47,108,232,372,555
2025-11-09,4,6,10,21,49,114,246,397,591
2025-11-16,4,6,10,21,51,121,263,429,643
2025-11-23,4,6,10,22,54,128,281,462,700
2025-11-30,4,6,10,22,53,126,275,447,685
2025-12-07,4,6,9,21,51,120,259,419,641
2025-12-14,4,6,10,21,51,120,264,418,637
2025-12-21,5,7,11,24,59,138,312,496,747
2026-01-04,6,9,14,31,75,180,409,664,1004
2026-01-11,7,11,18,40,97,235,534,880,1343
2026-01-18,9,13,22,49,119,292,659,1093,1675
2026-01-25,10,15,25,57,139,344,772,1272,1949
2026-02-01,11,17,29,65,161,397,887,1443,2195
2026-02-08,14,21,34,77,189,465,1042,1676,2523
2026-02-15,17,26,42,94,232,571,1288,2054,3094
2026-02-22,22,34,55,122,300,739,1673,2662,4048
2026-03-01,30,45,73,162,401,991,2246,3590,5519
2026-03-08,41,62,99,222,550,1368,3101,4994,7744
2026-03-15,56,84,135,304,757,1895,4304,7000,10900
2026-03-22,75,112,182,412,1027,2585,5887,9654,15051
2026-03-29,97,145,238,538,1344,3391,7738,12772,19904
2026-04-05,118,178,292,662,1659,4187,9567,15875,24718
2026-04-12,137,207,340,771,1929,4868,11133,18496,28767
2026-04-19,148,225,369,838,2095,5286,12094,20047,31084
2026-04-26,152,232,381,863,2158,5432,12459,20624,31816
2026-05-03,148,228,375,845,2114,5310,12229,20164,30962
2026-05-10,138,214,352,790,1973,4948,11413,18790,28732
2026-05-17,122,191,313,703,1752,4390,10125,16642,25424
2026-05-24,102,160,263,589,1470,3683,8472,13907,21286
2026-05-31,81,125,207,465,1162,2915,6679,10960,16817
2026-06-07,60,93,153,347,870,2191,4995,8186,12627
2026-06-14,43,65,108,247,623,1580,3589,5889,9134
2026-06-21,30,45,74,172,435,1112,2533,4177,6492
2026-06-28,20,30,50,118,301,778,1792,2981,4641
2026-07-05,14,20,34,81,210,551,1289,2164,3375
2026-07-12,9,14,23,57,150,398,952,1611,2511
2026-07-19,7,10,17,42,111,298,730,1237,1920
2026-07-26,5,8,13,33,87,235,587,994,1535
2026-08-02,4,7,11,27,72,194,493,836,1292
2026-08-09,3,6,10,23,62,165,416,712,1115
2026-08-16,3,4,8,18,50,134,334,579,933
2026-08-23,2,3,6,14,38,104,256,446,744
2026-08-30,1,2,3,9,26,74,182,319,548
2026-09-06,1,1,2,6,19,57,147,263,451
2026-09-13,1,1,2,6,18,53,147,261,435
2026-09-20,1,1,2,6,20,58,163,295,479
2026-09-27,1,2,3,8,22,64,180,326,532
2026-10-04,1,2,3,8,22,66,182,331,550
