date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95
2025-10-05,78,100,135,225,387,681,1123,1523,2016
2025-10-12,79,102,139,234,412,738,1236,1691,2260
2025-10-19,82,107,146,249,446,810,1376,1888,2544
2025-10-26,88,116,158,271,494,903,1554,2136,2876
2025-11-02,97,128,176,303,557,1022,1784,2455,3293
2025-11-09,108,142,195,341,634,1175,2079,2882,3846
2025-11-16,121,160,221,391,734,1372,2453,3435,4564
2025-11-23,138,185,256,458,862,1627,2925,4141,5490
2025-11-30,161,218,303,545,1029,1953,3522,5039,6663
2025-12-07,189,258,363,657,1238,2366,4275,6160,8147
2025-12-14,225,309,438,797,1501,2890,5229,7534,9987
2025-12-21,272,374,532,974,1834,3558,6444,9236,12297
2026-01-04,330,455,648,1189,2241,4378,7945,11279,15092
2026-01-11,401,550,782,1438,2715,5335,9704,13622,18298
2026-01-18,484,661,935,1719,3256,6422,11700,16259,21926
2026-01-25,578,785,1107,2031,3865,7636,13924,19218,25972
2026-02-01,685,926,1301,2381,4558,8991,16390,22578,30625
2026-02-08,803,1083,1518,2773,5338,10491,19097,26354,35928
2026-02-15,926,1248,1755,3191,6173,12064,21933,30440,41744
2026-02-22,1045,1412,1994,3610,7020,13630,24754,34591,47712
2026-03-01,1152,1566,2220,4000,7818,15101,27393,38508,53417
2026-03-08,1238,1694,2409,4328,8488,16337,29621,41846,58250
2026-03-15,1299,1787,2549,4570,8977,17251,31295,44367,61745
2026-03-22,1333,1836,2629,4707,9236,17757,32269,45779,63652
2026-03-29,1333,1835,2629,4712,9214,17782,32349,45897,63576
2026-04-05,1288,1772,2534,4555,8873,17213,31341,44435,61239
2026-04-12,1206,1658,2365,4263,8270,16131,29394,41634,57046
2026-04-19,1096,1507,2144,3871,7490,14674,26733,37873,51636
2026-04-26,974,1336,1897,3430,6629,13032,23700,33669,45750
2026-05-03,845,1159,1640,2969,5744,11323,20523,29255,39731
2026-05-10,718,987,1394,2525,4899,9665,17448,24982,34039
2026-05-17,596,824,1163,2104,4100,8080,14534,20917,28711
2026-05-24,487,675,954,1723,3375,6637,11892,17224,23877
2026-05-31,391,543,772,1391,2737,5366,9591,13939,19554
2026-06-07,310,431,616,1109,2190,4277,7646,11128,15753
2026-06-14,243,338,485,875,1729,3368,6043,8775,12485
2026-06-21,189,262,378,685,1352,2627,4749,6859,9767
2026-06-28,147,202,293,533,1047,2034,3711,5334,7567
2026-07-05,113,155,225,411,807,1566,2888,4141,5831
2026-07-12,88,119,173,318,626,1216,2263,3250,4553
2026-07-19,69,93,135,249,495,965,1808,2618,3666
2026-07-26,55,75,109,201,405,795,1497,2192,3080
2026-08-02,46,62,91,169,343,680,1285,1898,2694
2026-08-09,39,54,78,146,297,597,1130,1680,2399
2026-08-16,34,46,67,126,257,525,998,1489,2135
2026-08-23,29,40,58,110,224,464,890,1333,1909
2026-08-30,26,35,51,97,200,417,809,1219,1741
2026-09-06,23,32,46,89,186,388,761,1160,1642
2026-09-13,22,30,44,84,178,374,740,1138,1605
2026-09-20,21,29,43,83,178,374,746,1160,1638
2026-09-27,20,29,43,83,180,381,768,1207,1718
2026-10-04,20,29,44,86,188,401,813,1285,1852
