date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95
2025-10-05,3,3,5,10,21,43,80,118,165
2025-10-12,3,4,6,12,24,50,93,137,192
2025-10-19,3,5,7,14,28,58,109,160,223
2025-10-26,4,5,8,16,33,67,126,185,259
2025-11-02,5,6,10,19,38,78,146,215,301
2025-11-09,5,7,11,22,44,90,170,250,349
2025-11-16,6,9,13,25,51,105,197,290,406
2025-11-23,7,10,15,29,59,121,229,337,471
2025-11-30,8,12,18,34,69,141,266,391,546
2025-12-07,10,13,20,39,80,163,308,453,633
2025-12-14,11,15,24,45,93,189,357,525,734
2025-12-21,13,18,27,53,107,219,413,608,849
2026-01-04,15,21,32,61,124,253,478,702,982
2026-01-11,17,24,37,70,143,292,551,811,1133
2026-01-18,20,28,42,81,165,336,635,934,1305
2026-01-25,23,32,48,93,189,386,729,1072,1499
2026-02-01,26,36,55,106,216,442,834,1226,1714
2026-02-08,30,41,63,121,246,503,949,1395,1950
2026-02-15,34,47,71,137,278,568,1072,1577,2204
2026-02-22,38,52,80,153,312,637,1202,1767,2470
2026-03-01,42,58,89,170,346,706,1333,1960,2740
2026-03-08,46,63,97,186,378,773,1459,2145,2999
2026-03-15,50,68,104,200,408,833,1572,2311,3231
2026-03-22,53,72,111,212,432,881,1664,2446,3420
2026-03-29,55,75,115,220,448,914,1725,2537,3546
2026-04-05,56,76,116,223,454,927,1751,2574,3598
2026-04-12,55,75,115,221,451,920,1737,2554,3570
2026-04-19,53,73,112,215,437,893,1686,2479,3465
2026-04-26,51,70,106,204,416,849,1603,2356,3294
2026-05-03,47,65,99,191,388,792,1495,2198,3073
2026-05-10,44,60,91,175,356,727,1372,2017,2820
2026-05-17,39,54,83,158,322,658,1242,1826,2553
2026-05-24,35,48,74,142,288,589,1111,1634,2285
2026-05-31,31,43,65,126,256,522,986,1449,2026
2026-06-07,28,38,58,111,225,460,868,1276,1784
2026-06-14,24,33,50,97,197,403,760,1117,1562
2026-06-21,21,29,44,84,172,351,663,974,1362
2026-06-28,18,25,38,73,149,305,576,847,1184
2026-07-05,16,22,33,64,130,264,499,734,1026
2026-07-12,14,19,29,55,112,229,432,635,888
2026-07-19,12,16,25,48,97,198,373,549,767
2026-07-26,10,14,21,41,84,171,322,474,662
2026-08-02,9,12,18,35,72,147,278,409,571
2026-08-09,8,10,16,31,62,127,240,352,493
2026-08-16,7,9,14,26,54,109,207,304,425
2026-08-23,6,8,12,23,46,94,178,262,366
2026-08-30,5,7,10,20,40,81,153,225,315
2026-09-06,4,6,9,17,34,70,132,194,271
2026-09-13,4,5,8,14,29,60,114,167,234
2026-09-20,3,4,7,12,25,52,98,144,201
2026-09-27,3,4,6,11,22,45,84,124,173
2026-10-04,2,3,5,9,18,37,69,102,142
