date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95
2025-10-05,10,13,19,32,60,111,197,274,366
2025-10-12,12,16,22,38,70,130,231,320,428
2025-10-19,14,18,25,44,82,152,270,374,500
2025-10-26,16,21,30,51,95,177,315,437,584
2025-11-02,19,25,35,60,112,207,368,511,683
2025-11-09,22,29,41,70,130,242,430,597,798
2025-11-16,25,34,47,82,152,283,502,698,932
2025-11-23,30,39,55,96,178,330,587,815,1088
2025-11-30,35,46,65,112,207,386,685,951,1270
2025-12-07,40,54,75,130,242,450,798,1108,1480
2025-12-14,47,63,88,152,282,524,930,1291,1724
2025-12-21,55,73,102,177,328,609,1081,1501,2005
2026-01-04,63,84,119,205,380,707,1255,1742,2327
2026-01-11,73,98,137,237,440,818,1453,2017,2694
2026-01-18,85,113,158,274,508,944,1676,2327,3108
2026-01-25,97,130,182,315,583,1084,1924,2672,3569
2026-02-01,111,148,208,359,666,1237,2196,3049,4073
2026-02-08,125,167,235,406,753,1400,2485,3451,4610
2026-02-15,141,187,263,455,844,1569,2785,3866,5165
2026-02-22,155,207,291,503,933,1735,3080,4276,5712
2026-03-01,169,226,317,548,1016,1888,3352,4655,6218
2026-03-08,181,241,339,585,1086,2018,3582,4974,6644
2026-03-15,189,252,354,612,1136,2111,3747,5202,6949
2026-03-22,193,258,362,626,1161,2157,3829,5316,7101
2026-03-29,193,257,361,624,1157,2151,3819,5302,7082
2026-04-05,188,250,351,608,1127,2094,3718,5162,6895
2026-04-12,179,238,334,578,1072,1993,3537,4912,6561
2026-04-19,166,222,312,539,999,1857,3296,4577,6114
2026-04-26,152,203,285,493,915,1700,3017,4189,5596
2026-05-03,137,183,257,445,824,1532,2720,3776,5044
2026-05-10,122,163,229,396,734,1364,2422,3363,4492
2026-05-17,108,144,202,349,647,1203,2135,2965,3960
2026-05-24,94,126,177,305,566,1053,1869,2595,3466
2026-05-31,82,109,154,266,493,916,1626,2257,3015
2026-06-07,71,95,133,230,427,793,1408,1955,2611
2026-06-14,61,82,115,199,368,685,1215,1688,2254
2026-06-21,53,70,99,171,317,590,1047,1453,1941
2026-06-28,45,61,85,147,273,507,900,1249,1668
2026-07-05,39,52,73,126,234,435,772,1072,1432
2026-07-12,33,45,63,108,201,373,662,919,1228
2026-07-19,29,38,54,93,172,320,567,788,1052
2026-07-26,25,33,46,79,147,274,486,675,901
2026-08-02,21,28,39,68,126,234,416,578,772
2026-08-09,18,24,34,58,108,201,356,494,660
2026-08-16,15,21,29,50,92,172,305,423,565
2026-08-23,13,18,25,43,79,147,261,362,483
2026-08-30,11,15,21,36,68,126,223,310,413
2026-09-06,10,13,18,31,58,107,191,265,354
2026-09-13,8,11,15,27,49,92,163,226,302
2026-09-20,7,9,13,23,42,79,139,194,259
2026-09-27,6,8,11,19,36,67,119,166,221
2026-10-04,9,11,16,28,51,95,169,234,313
