date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95
2025-10-05,9,11,15,23,39,65,100,130,160
2025-10-12,10,13,17,27,45,75,116,150,186
2025-10-19,12,15,20,32,53,87,135,175,216
2025-10-26,14,18,23,37,61,101,157,203,250
2025-11-02,16,21,27,43,71,118,182,235,290
2025-11-09,19,24,31,49,82,136,211,273,337
2025-11-16,22,28,36,57,96,158,245,316,391
2025-11-23,25,32,42,66,111,183,284,367,452
2025-11-30,30,37,49,77,128,212,328,424,523
2025-12-07,34,43,56,89,148,245,379,490,605
2025-12-14,39,49,65,102,171,282,438,565,698
2025-12-21,45,57,75,118,197,325,504,651,803
2026-01-04,52,65,86,135,226,373,578,746,921
2026-01-11,59,75,98,154,258,426,660,852,1052
2026-01-18,67,85,111,175,293,484,749,968,1195
2026-01-25,76,95,125,198,330,545,845,1092,1348
2026-02-01,85,107,140,221,369,610,945,1221,1506
2026-02-08,94,118,155,244,408,674,1044,1349,1665
2026-02-15,102,129,169,266,444,734,1138,1470,1814
2026-02-22,110,138,181,286,476,787,1220,1577,1946
2026-03-01,115,145,191,301,501,829,1284,1659,2048
2026-03-08,119,150,196,310,517,854,1324,1711,2111
2026-03-15,120,151,198,312,521,861,1335,1725,2128
2026-03-22,118,149,195,308,514,849,1316,1701,2099
2026-03-29,114,143,188,297,496,819,1270,1641,2025
2026-04-05,108,136,178,281,469,775,1200,1551,1914
2026-04-12,100,126,165,261,435,719,1114,1440,1777
2026-04-19,92,115,151,238,398,657,1019,1316,1624
2026-04-26,83,104,136,215,359,593,919,1187,1465
2026-05-03,74,93,122,192,320,529,820,1059,1307
2026-05-10,65,82,108,170,283,468,726,937,1157
2026-05-17,57,72,95,149,249,411,638,824,1017
2026-05-24,50,63,83,130,218,360,558,721,889
2026-05-31,44,55,72,114,190,313,486,628,774
2026-06-07,38,48,63,99,165,272,422,545,673
2026-06-14,33,41,54,86,143,236,366,472,583
2026-06-21,28,36,47,74,123,204,316,408,504
2026-06-28,25,31,41,64,107,176,273,353,435
2026-07-05,21,27,35,55,92,152,236,305,376
2026-07-12,18,23,30,48,79,131,203,263,324
2026-07-19,16,20,26,41,68,113,175,226,279
2026-07-26,14,17,22,35,59,97,151,195,241
2026-08-02,12,15,19,30,51,84,130,168,207
2026-08-09,10,13,17,26,44,72,112,145,179
2026-08-16,9,11,14,23,38,62,96,125,154
2026-08-23,7,9,12,19,32,54,83,107,132
2026-08-30,6,8,11,17,28,46,72,92,114
2026-09-06,6,7,9,14,24,40,62,80,98
2026-09-13,5,6,8,12,21,34,53,68,84
2026-09-20,4,5,7,11,18,29,46,59,73
2026-09-27,4,4,6,9,15,25,39,51,63
2026-10-04,8,10,13,20,34,56,86,112,138
