date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95
2025-10-05,3,5,8,21,58,161,396,701,1156
2025-10-12,3,6,10,25,70,193,475,842,1388
2025-10-19,4,7,12,30,84,232,571,1011,1666
2025-10-26,4,8,14,36,100,278,685,1214,2000
2025-11-02,5,10,17,43,120,334,823,1457,2401
2025-11-09,6,12,21,52,145,401,987,1748,2882
2025-11-16,8,14,25,62,173,481,1185,2098,3458
2025-11-23,9,17,30,75,208,577,1421,2517,4148
2025-11-30,11,20,35,89,249,692,1704,3018,4974
2025-12-07,13,24,43,107,299,830,2042,3617,5961
2025-12-14,16,29,51,128,358,993,2445,4331,7138
2025-12-21,19,34,61,154,428,1188,2925,5179,8537
2026-01-04,23,41,73,183,511,1419,3492,6184,10193
2026-01-11,27,49,87,218,609,1690,4159,7366,12141
2026-01-18,32,58,103,259,723,2006,4937,8743,14410
2026-01-25,38,68,121,306,854,2369,5831,10327,17022
2026-02-01,45,80,142,359,1001,2779,6841,12115,19970
2026-02-08,52,93,166,417,1164,3230,7952,14082,23212
2026-02-15,59,106,190,479,1336,3708,9127,16164,26643
2026-02-22,67,120,215,541,1508,4186,10305,18249,30080
2026-03-01,74,133,237,598,1668,4628,11393,20175,33255
2026-03-08,80,143,256,644,1797,4987,12276,21740,35834
2026-03-15,84,150,267,674,1880,5217,12841,22740,37483
2026-03-22,85,152,271,683,1903,5283,13004,23028,37957
2026-03-29,83,149,265,669,1864,5174,12737,22556,37180
2026-04-05,79,141,252,634,1769,4909,12084,21400,35274
2026-04-12,73,130,232,585,1630,4525,11139,19727,32516
2026-04-19,65,117,209,526,1467,4070,10020,17744,29247
2026-04-26,58,103,184,464,1293,3589,8835,15646,25790
2026-05-03,50,89,160,403,1123,3116,7671,13585,22392
2026-05-10,43,77,137,346,964,2674,6583,11657,19215
2026-05-17,36,65,117,294,820,2275,5600,9918,16347
2026-05-24,31,55,99,249,693,1924,4735,8385,13821
2026-05-31,26,46,83,209,583,1619,3985,7057,11633
2026-06-07,22,39,70,176,489,1358,3344,5921,9760
2026-06-14,18,33,58,147,410,1137,2799,4957,8171
2026-06-21,15,27,49,123,342,950,2340,4143,6829
2026-06-28,13,23,41,103,286,794,1953,3459,5702
2026-07-05,11,19,34,86,239,662,1630,2886,4757
2026-07-12,9,16,28,71,199,552,1359,2407,3967
2026-07-19,7,13,24,59,166,460,1133,2006,3306
2026-07-26,6,11,20,50,138,383,944,1672,2755
2026-08-02,5,9,16,41,115,319,786,1393,2296
2026-08-09,4,8,14,34,96,266,655,1160,1912
2026-08-16,4,6,11,29,80,222,546,966,1593
2026-08-23,3,5,9,24,67,185,455,805,1327
2026-08-30,2,4,8,20,55,154,379,671,1105
2026-09-06,2,4,7,17,46,128,315,558,921
2026-09-13,2,3,5,14,38,107,263,465,767
2026-09-20,1,3,5,11,32,89,219,387,639
2026-09-27,1,2,4,10,27,74,182,323,532
2026-10-04,2,4,7,17,48,134,330,584,963
