date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95
2025-10-05,0,0,0,1,2,3,7,11,16
2025-10-12,0,0,0,1,2,4,8,12,18
2025-10-19,0,0,0,1,2,5,9,14,21
2025-10-26,0,0,1,1,2,5,11,17,25
2025-11-02,0,0,1,1,3,6,13,19,29
2025-11-09,0,0,1,1,3,7,15,23,34
2025-11-16,0,1,1,2,4,8,17,26,39
2025-11-23,0,1,1,2,4,10,20,30,45
2025-11-30,0,1,1,2,5,11,23,35,52
2025-12-07,1,1,1,3,6,13,26,41,61
2025-12-14,1,1,1,3,7,15,31,47,70
2025-12-21,1,1,2,3,8,18,35,55,81
2026-01-04,1,1,2,4,9,20,41,63,94
2026-01-11,1,1,2,5,10,24,47,73,109
2026-01-18,1,2,3,5,12,27,54,84,125
2026-01-25,1,2,3,6,14,31,62,96,144
2026-02-01,1,2,3,7,16,36,71,110,164
2026-02-08,2,3,4,8,18,40,81,125,186
2026-02-15,2,3,4,9,20,46,91,141,210
2026-02-22,2,3,5,10,23,51,102,158,235
2026-03-01,2,4,5,11,25,57,113,175,260
2026-03-08,3,4,6,12,27,62,123,191,284
2026-03-15,3,4,6,13,29,66,133,205,305
2026-03-22,3,4,7,14,31,70,140,216,322
2026-03-29,3,4,7,14,32,72,144,223,332
2026-04-05,3,5,7,14,32,73,146,225,336
2026-04-12,3,4,7,14,32,72,144,223,332
2026-04-19,3,4,7,14,31,70,139,215,321
2026-04-26,3,4,6,13,29,66,132,204,304
2026-05-03,3,4,6,12,27,61,123,190,283
2026-05-10,2,3,5,11,25,56,112,173,259
2026-05-17,2,3,5,10,22,51,101,157,234
2026-05-24,2,3,4,9,20,45,91,140,209
2026-05-31,2,2,4,8,18,40,80,124,185
2026-06-07,1,2,3,7,16,35,71,109,162
2026-06-14,1,2,3,6,14,31,62,95,142
2026-06-21,1,2,3,5,12,27,54,83,124
2026-06-28,1,1,2,5,10,23,47,72,108
2026-07-05,1,1,2,4,9,20,40,63,93
2026-07-12,1,1,2,3,8,18,35,54,81
2026-07-19,1,1,1,3,7,15,30,47,70
2026-07-26,1,1,1,3,6,13,26,40,60
2026-08-02,0,1,1,2,5,11,23,35,52
2026-08-09,0,1,1,2,4,10,19,30,45
2026-08-16,0,1,1,2,4,8,17,26,39
2026-08-23,0,0,1,1,3,7,14,22,33
2026-08-30,0,0,1,1,3,6,12,19,29
2026-09-06,0,0,1,1,2,5,11,17,25
2026-09-13,0,0,0,1,2,5,9,14,21
2026-09-20,0,0,0,1,2,4,8,12,18
2026-09-27,0,0,0,1,2,3,7,11,16
2026-10-04,0,0,0,1,1,3,6,9,14
