date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95
2025-10-05,9,15,27,73,205,612,1579,2897,4781
2025-10-12,11,18,33,90,252,753,1942,3564,5882
2025-10-19,13,23,40,110,311,926,2389,4384,7236
2025-10-26,16,28,49,136,382,1139,2939,5394,8901
2025-11-02,20,34,61,167,470,1401,3616,6635,10949
2025-11-09,24,42,75,205,578,1723,4447,8161,13468
2025-11-16,30,52,92,252,711,2119,5470,10037,16565
2025-11-23,37,64,113,310,874,2606,6727,12344,20371
2025-11-30,46,79,139,382,1075,3205,8271,15177,25046
2025-12-07,56,97,171,469,1321,3939,10165,18654,30784
2025-12-14,69,119,210,576,1623,4839,12488,22916,37819
2025-12-21,84,146,258,708,1993,5940,15331,28132,46427
2026-01-04,104,179,316,868,2444,7284,18800,34498,56932
2026-01-11,127,219,387,1062,2992,8918,23016,42234,69698
2026-01-18,155,267,472,1297,3654,10890,28107,51577,85117
2026-01-25,188,325,575,1578,4446,13251,34199,62754,103563
2026-02-01,228,394,696,1910,5380,16035,41384,75939,125322
2026-02-08,274,473,835,2293,6458,19249,49681,91163,150447
2026-02-15,325,561,991,2721,7664,22845,58960,108191,178548
2026-02-22,379,655,1157,3178,8951,26678,68853,126344,208506
2026-03-01,433,748,1322,3630,10226,30478,78661,144343,238209
2026-03-08,481,831,1468,4031,11354,33840,87339,160266,264487
2026-03-15,515,891,1574,4321,12172,36279,93632,171815,283546
2026-03-22,531,917,1621,4450,12535,37361,96425,176939,292003
2026-03-29,524,905,1600,4392,12371,36871,95162,174622,288178
2026-04-05,496,857,1515,4158,11712,34910,90099,165330,272845
2026-04-12,452,782,1381,3793,10683,31843,82184,150807,248876
2026-04-19,400,691,1222,3354,9447,28156,72668,133346,220060
2026-04-26,345,596,1054,2894,8151,24296,62705,115064,189890
2026-05-03,293,505,893,2452,6907,20586,53131,97495,160897
2026-05-10,245,423,747,2051,5776,17216,44432,81533,134553
2026-05-17,203,350,619,1699,4786,14265,36817,67559,111493
2026-05-24,167,288,510,1399,3941,11746,30315,55628,91803
2026-05-31,137,236,418,1147,3231,9630,24855,45608,75267
2026-06-07,112,193,342,938,2641,7873,20319,37285,61532
2026-06-14,91,158,279,765,2155,6424,16579,30422,50206
2026-06-21,74,129,227,624,1756,5235,13510,24791,40912
2026-06-28,61,105,185,508,1430,4262,11000,20184,33310
2026-07-05,49,85,150,413,1164,3468,8951,16425,27106
2026-07-12,40,69,122,336,946,2821,7281,13360,22048
2026-07-19,33,56,100,273,770,2294,5921,10865,17930
2026-07-26,27,46,81,222,626,1865,4814,8834,14579
2026-08-02,22,37,66,181,509,1517,3914,7182,11853
2026-08-09,18,30,53,147,414,1233,3182,5839,9636
2026-08-16,14,25,43,119,336,1002,2587,4746,7833
2026-08-23,12,20,35,97,273,815,2103,3858,6367
2026-08-30,9,16,29,79,222,662,1709,3136,5176
2026-09-06,8,13,23,64,181,538,1389,2549,4207
2026-09-13,6,11,19,52,147,438,1129,2072,3420
2026-09-20,5,9,15,42,119,356,918,1684,2780
2026-09-27,4,7,13,34,97,289,746,1369,2259
2026-10-04,7,12,22,59,167,497,1283,2355,3886
