date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95
2025-10-05,1,23,55,130,254,446,707,919,1148
2025-10-12,1,18,50,124,250,446,714,934,1173
2025-10-19,1,18,50,126,257,462,747,982,1238
2025-10-26,1,15,48,125,258,469,765,1011,1281
2025-11-02,1,13,46,124,261,479,788,1046,1330
2025-11-09,1,10,42,120,256,478,792,1058,1351
2025-11-16,1,11,44,125,268,502,837,1121,1437
2025-11-23,1,15,51,137,290,543,910,1222,1570
2025-11-30,1,15,52,140,299,563,948,1278,1647
2025-12-07,1,17,55,146,312,591,999,1352,1748
2025-12-14,1,23,63,162,342,646,1095,1485,1924
2025-12-21,31,68,124,260,513,942,1581,2137,2767
2026-01-04,68,116,189,369,703,1274,2130,2879,3730
2026-01-11,81,133,212,410,778,1414,2372,3214,4174
2026-01-18,104,164,256,484,913,1657,2785,3782,4922
2026-01-25,105,166,260,494,936,1709,2888,3933,5133
2026-02-01,118,184,284,538,1020,1867,3166,4323,5655
2026-02-08,134,206,315,593,1124,2063,3510,4805,6299
2026-02-15,138,212,325,612,1165,2148,3671,5040,6623
2026-02-22,147,224,343,647,1235,2285,3921,5396,7108
2026-03-01,159,240,366,689,1317,2446,4212,5811,7670
2026-03-08,167,251,383,722,1384,2579,4458,6166,8157
2026-03-15,175,263,401,756,1453,2717,4715,6536,8665
2026-03-22,166,252,386,735,1421,2673,4661,6479,8609
2026-03-29,162,248,382,731,1422,2688,4707,6559,8734
2026-04-05,155,240,372,717,1402,2664,4684,6544,8733
2026-04-12,147,229,358,696,1370,2617,4622,6473,8657
2026-04-19,139,219,344,675,1339,2570,4558,6399,8576
2026-04-26,120,194,311,620,1241,2399,4275,6018,8083
2026-05-03,112,184,298,599,1208,2347,4200,5926,7975
2026-05-10,94,161,266,545,1112,2176,3914,5538,7468
2026-05-17,79,140,238,499,1029,2028,3666,5200,7027
2026-05-24,60,115,204,439,921,1832,3330,4737,6416
2026-05-31,60,116,206,444,934,1864,3398,4841,6567
2026-06-07,52,106,192,421,893,1793,3282,4687,6371
2026-06-14,46,98,181,404,864,1743,3203,4584,6241
2026-06-21,36,84,161,370,802,1630,3010,4318,5890
2026-06-28,12,52,117,291,654,1352,2519,3628,4964
2026-07-05,10,49,113,285,645,1339,2505,3615,4955
2026-07-12,1,22,74,217,514,1091,2063,2991,4112
2026-07-19,1,4,48,170,426,924,1766,2571,3546
2026-07-26,1,3,48,171,429,934,1789,2609,3604
2026-08-02,1,1,40,156,402,885,1704,2492,3450
2026-08-09,1,1,30,138,368,820,1591,2334,3237
2026-08-16,1,1,22,124,342,772,1506,2215,3080
2026-08-23,1,1,19,120,336,762,1492,2199,3062
2026-08-30,1,1,8,101,298,690,1364,2017,2816
2026-09-06,1,1,3,90,279,654,1300,1928,2696
2026-09-13,1,1,7,100,299,696,1382,2050,2869
2026-09-20,1,1,12,110,320,739,1467,2176,3047
2026-09-27,1,1,15,115,330,763,1515,2250,3153
2026-10-04,1,1,17,120,342,788,1565,2326,3263
