date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95
2025-10-05,1,1,1,1,28,65,108,138,168
2025-10-12,1,1,1,2,32,71,116,148,179
2025-10-19,1,1,1,1,30,69,114,146,178
2025-10-26,1,1,1,7,39,81,129,164,198
2025-11-02,1,1,1,5,37,79,128,163,197
2025-11-09,1,1,1,7,40,83,133,169,204
2025-11-16,1,1,1,9,42,87,138,175,212
2025-11-23,1,1,1,8,42,86,138,175,212
2025-11-30,1,1,1,13,48,95,149,188,228
2025-12-07,1,1,1,10,44,90,143,182,221
2025-12-14,1,1,1,4,37,81,132,169,207
2025-12-21,1,1,1,6,40,85,137,176,214
2026-01-04,1,1,2,32,74,130,195,243,291
2026-01-11,1,5,22,57,107,174,252,310,367
2026-01-18,1,14,32,70,126,199,285,347,410
2026-01-25,1,15,34,73,129,203,291,355,419
2026-02-01,10,26,47,89,151,232,329,399,469
2026-02-08,28,46,70,119,191,287,399,481,563
2026-02-15,46,67,94,151,233,342,471,566,660
2026-02-22,56,78,108,169,257,375,513,615,716
2026-03-01,62,85,115,178,270,392,536,641,747
2026-03-08,63,87,118,181,274,398,544,651,758
2026-03-15,65,89,120,185,279,405,553,662,771
2026-03-22,66,90,122,187,282,409,559,668,778
2026-03-29,54,76,106,167,255,373,512,615,717
2026-04-05,57,79,109,171,261,381,523,627,731
2026-04-12,48,70,98,157,242,356,491,590,689
2026-04-19,52,74,103,163,250,367,505,607,709
2026-04-26,45,66,93,151,234,346,478,575,672
2026-05-03,40,60,87,143,224,332,460,554,648
2026-05-10,32,51,76,128,205,307,427,516,605
2026-05-17,26,45,69,119,193,291,407,492,577
2026-05-24,18,35,58,104,173,264,372,452,532
2026-05-31,7,23,44,86,149,232,331,404,477
2026-06-07,3,18,38,79,139,219,314,384,454
2026-06-14,1,5,23,60,113,185,270,332,394
2026-06-21,1,1,16,50,101,168,248,307,366
2026-06-28,1,1,9,41,88,152,227,282,338
2026-07-05,1,1,4,35,81,142,215,268,322
2026-07-12,1,1,1,16,55,107,170,216,262
2026-07-19,1,1,1,13,51,102,163,208,253
2026-07-26,1,1,1,8,45,94,153,196,239
2026-08-02,1,1,1,13,51,103,164,209,254
2026-08-09,1,1,1,15,55,107,170,216,262
2026-08-16,1,1,1,13,52,104,166,211,257
2026-08-23,1,1,1,9,46,96,156,200,244
2026-08-30,1,1,1,5,41,89,147,189,232
2026-09-06,1,1,1,6,42,90,148,191,234
2026-09-13,1,1,1,7,44,94,153,196,240
2026-09-20,1,1,1,7,44,94,153,196,240
2026-09-27,1,1,1,1,32,77,131,170,210
2026-10-04,1,1,1,1,35,82,137,178,219
