date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95
2025-10-05,1,9,28,67,125,202,295,364,433
2025-10-12,1,15,35,77,140,225,327,403,480
2025-10-19,1,15,35,79,143,231,337,416,496
2025-10-26,3,19,41,87,156,250,364,449,536
2025-11-02,16,34,59,112,191,300,433,533,635
2025-11-09,21,41,68,124,210,328,472,581,692
2025-11-16,39,62,93,159,259,397,568,696,827
2025-11-23,53,78,113,187,299,455,648,794,943
2025-11-30,69,97,136,219,346,523,742,908,1078
2025-12-07,67,96,135,219,347,527,750,920,1094
2025-12-14,45,70,104,177,290,448,646,796,951
2025-12-21,38,62,95,166,275,430,622,770,921
2026-01-04,147,191,251,380,579,861,1213,1483,1762
2026-01-11,187,238,308,460,694,1027,1445,1765,2097
2026-01-18,218,275,353,522,785,1160,1631,1993,2368
2026-01-25,239,300,385,567,852,1257,1769,2163,2571
2026-02-01,259,324,414,610,915,1351,1901,2326,2768
2026-02-08,262,329,420,619,931,1377,1942,2378,2832
2026-02-15,267,335,428,632,951,1409,1990,2440,2908
2026-02-22,248,313,402,597,903,1343,1902,2336,2787
2026-03-01,239,302,389,580,880,1313,1864,2291,2737
2026-03-08,228,290,375,562,856,1280,1822,2242,2681
2026-03-15,233,296,383,574,874,1310,1865,2298,2749
2026-03-22,226,288,374,562,859,1289,1840,2269,2717
2026-03-29,204,262,342,518,796,1201,1719,2123,2545
2026-04-05,208,267,349,528,813,1227,1758,2173,2606
2026-04-12,211,270,353,536,825,1246,1787,2209,2652
2026-04-19,190,246,323,494,765,1161,1670,2067,2484
2026-04-26,182,237,313,480,746,1135,1635,2027,2437
2026-05-03,179,233,309,475,740,1127,1626,2016,2426
2026-05-10,178,233,308,474,740,1128,1629,2022,2434
2026-05-17,157,207,278,432,679,1040,1506,1872,2257
2026-05-24,128,173,236,373,594,916,1333,1661,2005
2026-05-31,92,129,182,298,483,755,1108,1384,1675
2026-06-07,78,113,162,270,443,697,1026,1284,1556
2026-06-14,55,86,129,224,375,598,888,1115,1354
2026-06-21,39,67,105,191,327,528,789,995,1211
2026-06-28,23,48,82,158,280,460,694,879,1073
2026-07-05,13,36,68,138,252,419,637,809,990
2026-07-12,2,22,51,114,217,368,566,722,887
2026-07-19,1,8,34,91,183,318,496,636,784
2026-07-26,1,4,28,83,172,303,474,610,753
2026-08-02,1,1,25,78,165,293,461,594,735
2026-08-09,1,1,16,66,146,266,423,548,680
2026-08-16,1,1,12,61,139,257,410,532,661
2026-08-23,1,1,5,51,125,235,380,495,617
2026-08-30,1,1,1,38,106,207,340,446,558
2026-09-06,1,1,1,39,108,210,345,453,567
2026-09-13,1,1,1,38,107,209,344,452,566
2026-09-20,1,1,1,36,103,205,338,444,557
2026-09-27,1,1,1,29,93,189,316,417,524
2026-10-04,1,1,1,31,97,195,325,429,539
