date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95
2025-10-05,17,38,66,127,222,355,523,651,783
2025-10-12,17,38,67,130,228,368,544,680,820
2025-10-19,15,37,66,130,230,374,557,699,846
2025-10-26,12,33,62,126,227,373,559,703,854
2025-11-02,17,40,71,140,249,408,611,771,937
2025-11-09,10,32,61,128,233,387,587,743,907
2025-11-16,9,31,61,128,236,394,600,762,932
2025-11-23,9,31,61,129,239,402,615,782,960
2025-11-30,8,30,60,129,241,407,624,797,979
2025-12-07,8,30,62,132,247,418,644,823,1014
2025-12-14,1,14,42,104,206,360,563,725,897
2025-12-21,1,1,18,70,156,286,459,597,744
2026-01-04,1,18,48,114,224,391,613,791,981
2026-01-11,2,23,55,125,242,419,657,848,1052
2026-01-18,4,27,59,133,255,441,691,892,1108
2026-01-25,10,34,69,147,279,479,749,968,1202
2026-02-01,28,56,97,189,344,581,902,1162,1442
2026-02-08,39,70,115,216,387,650,1006,1296,1608
2026-02-15,53,88,137,251,442,737,1137,1463,1815
2026-02-22,63,100,154,276,482,802,1237,1592,1976
2026-03-01,73,113,170,301,523,867,1338,1723,2139
2026-03-08,94,138,202,350,601,991,1526,1963,2438
2026-03-15,107,155,224,384,655,1079,1660,2138,2655
2026-03-22,117,168,241,410,699,1150,1770,2280,2834
2026-03-29,109,158,229,393,673,1112,1717,2215,2756
2026-04-05,132,187,266,449,763,1257,1939,2501,3113
2026-04-12,128,182,260,442,754,1245,1924,2485,3096
2026-04-19,144,201,285,481,817,1347,2081,2689,3352
2026-04-26,131,186,265,452,773,1280,1984,2567,3203
2026-05-03,136,192,274,466,797,1320,2049,2653,3312
2026-05-10,136,193,276,470,804,1334,2072,2686,3356
2026-05-17,128,183,263,451,776,1292,2011,2610,3265
2026-05-24,108,158,231,403,701,1175,1838,2389,2993
2026-05-31,97,145,216,380,665,1120,1757,2287,2868
2026-06-07,90,136,204,363,639,1079,1697,2211,2776
2026-06-14,74,116,178,325,579,985,1555,2031,2554
2026-06-21,52,89,144,273,496,855,1358,1778,2240
2026-06-28,41,75,126,246,454,789,1260,1654,2088
2026-07-05,35,69,118,234,437,762,1222,1606,2029
2026-07-12,21,51,95,199,382,676,1090,1438,1821
2026-07-19,15,43,85,185,359,640,1037,1370,1738
2026-07-26,1,26,63,150,304,552,904,1200,1526
2026-08-02,1,25,62,149,303,552,905,1202,1530
2026-08-09,1,23,60,147,299,547,898,1194,1521
2026-08-16,1,13,47,127,268,497,823,1097,1401
2026-08-23,1,11,44,123,262,488,810,1082,1382
2026-08-30,1,3,34,108,238,450,752,1007,1289
2026-09-06,1,4,35,110,242,456,762,1021,1307
2026-09-13,1,2,32,105,235,446,747,1001,1284
2026-09-20,1,1,27,97,222,425,715,961,1234
2026-09-27,1,1,28,100,226,432,727,978,1255
2026-10-04,1,1,27,98,223,428,722,971,1247
