date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95
2025-10-05,1,1,1,6,48,106,178,232,288
2025-10-12,1,1,1,7,51,111,187,244,303
2025-10-19,1,1,1,4,47,107,182,240,299
2025-10-26,1,1,1,6,50,112,191,251,314
2025-11-02,1,1,1,8,53,119,201,264,330
2025-11-09,1,1,1,8,55,122,207,272,340
2025-11-16,1,1,1,10,58,127,214,282,353
2025-11-23,1,1,1,10,59,130,220,290,363
2025-11-30,1,1,1,11,62,134,227,300,375
2025-12-07,1,1,1,13,64,139,234,309,387
2025-12-14,1,1,1,11,62,136,231,306,385
2025-12-21,1,1,1,4,52,122,213,284,359
2026-01-04,1,1,1,28,88,176,290,380,474
2026-01-11,1,1,1,39,104,200,325,424,527
2026-01-18,1,1,6,51,122,228,366,474,588
2026-01-25,1,1,14,62,139,253,403,521,645
2026-02-01,1,8,34,91,183,320,498,640,789
2026-02-08,1,12,39,98,194,337,524,672,829
2026-02-15,5,27,57,125,235,398,612,783,963
2026-02-22,20,45,80,158,285,473,722,919,1128
2026-03-01,32,59,97,183,323,532,807,1026,1258
2026-03-08,42,72,113,207,359,586,886,1125,1379
2026-03-15,59,93,140,245,417,674,1014,1285,1573
2026-03-22,60,93,141,247,420,681,1025,1300,1593
2026-03-29,56,88,134,238,408,664,1002,1273,1560
2026-04-05,84,123,178,301,504,809,1212,1535,1879
2026-04-12,94,135,193,324,539,863,1293,1636,2003
2026-04-19,93,134,192,323,538,862,1293,1638,2006
2026-04-26,94,135,193,325,541,869,1303,1652,2024
2026-05-03,94,136,194,327,545,875,1313,1665,2041
2026-05-10,90,131,188,318,533,857,1289,1636,2007
2026-05-17,82,121,176,301,508,820,1236,1571,1928
2026-05-24,66,102,152,267,456,742,1124,1431,1759
2026-05-31,56,89,137,245,423,693,1054,1344,1654
2026-06-07,50,83,129,233,406,667,1017,1298,1599
2026-06-14,39,69,111,207,367,609,933,1194,1472
2026-06-21,30,58,99,189,340,568,874,1120,1384
2026-06-28,20,46,83,168,307,520,804,1033,1279
2026-07-05,18,43,80,163,300,510,791,1017,1260
2026-07-12,3,25,57,130,251,436,684,884,1099
2026-07-19,1,19,49,118,233,409,646,837,1042
2026-07-26,1,8,36,99,204,364,581,755,943
2026-08-02,1,6,34,96,200,359,574,748,934
2026-08-09,1,8,36,100,207,370,591,769,961
2026-08-16,1,1,22,79,175,321,519,679,851
2026-08-23,1,1,11,63,150,284,465,612,770
2026-08-30,1,1,1,43,120,239,398,528,667
2026-09-06,1,1,1,43,120,239,399,529,669
2026-09-13,1,1,1,40,115,231,388,515,652
2026-09-20,1,1,1,35,107,219,371,494,627
2026-09-27,1,1,1,25,92,196,337,452,575
2026-10-04,1,1,1,24,91,194,334,448,570
