date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95
2025-10-05,1,1,1,6,14,24,33,39,44
2025-10-12,1,1,1,3,12,21,31,36,42
2025-10-19,1,1,1,2,10,19,29,34,39
2025-10-26,1,1,1,4,13,22,32,38,43
2025-11-02,1,1,1,4,13,23,33,39,44
2025-11-09,1,1,1,5,14,24,34,40,45
2025-11-16,1,1,1,4,13,23,32,39,44
2025-11-23,1,1,1,4,13,23,33,39,44
2025-11-30,1,1,1,3,12,22,32,38,44
2025-12-07,1,1,1,4,13,24,33,40,46
2025-12-14,1,1,1,4,14,24,34,40,46
2025-12-21,1,1,1,1,8,18,28,34,39
2026-01-04,1,1,1,1,10,20,29,36,41
2026-01-11,1,1,1,2,11,22,32,38,44
2026-01-18,1,1,1,2,12,22,32,39,44
2026-01-25,1,1,1,3,13,24,34,40,46
2026-02-01,1,1,1,3,13,24,34,40,46
2026-02-08,1,1,1,2,12,22,33,39,45
2026-02-15,1,1,1,2,11,22,32,39,44
2026-02-22,1,1,1,1,10,20,30,36,42
2026-03-01,1,1,1,1,10,20,30,37,43
2026-03-08,1,1,1,2,11,22,32,39,45
2026-03-15,1,1,1,3,12,23,34,40,46
2026-03-22,1,1,1,2,12,23,33,40,46
2026-03-29,1,1,1,1,9,19,30,36,42
2026-04-05,1,1,1,1,10,21,31,38,44
2026-04-12,1,1,1,1,9,20,30,37,43
2026-04-19,1,1,1,1,11,21,32,38,44
2026-04-26,1,1,1,1,10,21,31,38,44
2026-05-03,1,1,1,1,10,20,31,37,43
2026-05-10,1,1,1,2,12,23,33,40,46
2026-05-17,1,1,1,2,12,23,34,41,47
2026-05-24,1,1,1,6,16,27,38,45,51
2026-05-31,1,1,1,5,15,26,37,43,50
2026-06-07,1,1,1,6,16,27,38,45,52
2026-06-14,1,1,1,7,17,28,39,46,53
2026-06-21,1,1,1,4,14,25,36,43,49
2026-06-28,1,1,1,4,14,25,36,43,49
2026-07-05,1,1,1,3,13,24,35,42,48
2026-07-12,1,1,1,5,15,26,37,44,51
2026-07-19,1,1,1,4,14,25,36,43,49
2026-07-26,1,1,1,3,13,24,35,42,48
2026-08-02,1,1,1,4,14,25,36,43,50
2026-08-09,1,1,1,6,17,28,39,47,53
2026-08-16,1,1,1,7,18,29,41,48,55
2026-08-23,1,1,1,4,15,26,37,44,51
2026-08-30,1,1,1,5,16,27,39,46,52
2026-09-06,1,1,1,4,14,25,36,44,50
2026-09-13,1,1,1,4,15,26,37,44,51
2026-09-20,1,1,1,5,15,27,38,45,52
2026-09-27,1,1,1,4,15,26,37,44,51
2026-10-04,1,1,1,2,13,24,35,42,48
